-------------
sw-12-04
            88.4dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.2Hz  39Hz   65Hz  104.7dB   63l +  20l  * 1x50mm   1898mm
 18.9Hz  41Hz   67Hz  106.3dB   53l +  20l  * 1x50mm   1692mm
 20.6Hz  44Hz   68Hz  107.8dB   45l +  20l  * 1x50mm   1508mm
 22.5Hz  46Hz   70Hz  109.4dB   38l +  20l  * 1x50mm   1344mm
 24.5Hz  49Hz   72Hz  110.9dB   33l +  20l  * 1x50mm   1198mm
 26.7Hz  52Hz   74Hz  112.4dB   28l +  20l  * 1x50mm   1068mm
 29.1Hz  55Hz   77Hz  113.8dB   25l +  20l  * 1x50mm    952mm
 31.6Hz  58Hz   79Hz  115.3dB   22l +  20l  * 1x50mm    848mm
 34.3Hz  62Hz   82Hz  116.7dB   19l +  20l  * 1x50mm    756mm
 37.2Hz  56Hz   85Hz  118.1dB   24l +  20l  * 1x50mm    917mm
 40.2Hz  58Hz   88Hz  119.5dB   22l +  20l  * 1x50mm    859mm
 43.5Hz  63Hz   91Hz  120.8dB   18l +  20l  * 1x50mm    728mm
 40.4Hz  67Hz   95Hz  119.5dB   16l +  20l  * 1x50mm    649mm
 44.1Hz  71Hz   98Hz  121.1dB   14l +  20l  * 1x50mm    579mm
 54.7Hz  75Hz  102Hz  124.8dB   12l +  20l  * 1x50mm    516mm
 17.2Hz  42Hz  101Hz  104.7dB   51l +  14l  * 1x50mm   2390mm
 19.0Hz  44Hz  103Hz  106.4dB   44l +  14l  * 1x50mm   2131mm
 20.9Hz  47Hz  105Hz  108.1dB   37l +  14l  * 1x50mm   1899mm
 23.0Hz  50Hz  107Hz  109.7dB   32l +  14l  * 1x50mm   1692mm
 25.2Hz  53Hz  109Hz  111.4dB   28l +  14l  * 1x50mm   1508mm
 27.7Hz  56Hz  112Hz  113.0dB   24l +  14l  * 1x50mm   1344mm
 30.4Hz  59Hz  114Hz  114.6dB   21l +  14l  * 1x50mm   1198mm
 33.2Hz  62Hz  117Hz  116.1dB   18l +  14l  * 1x50mm   1068mm
 36.3Hz  66Hz  120Hz  117.7dB   16l +  14l  * 1x50mm    952mm
 39.7Hz  70Hz  124Hz  119.2dB   14l +  14l  * 1x50mm    848mm
 43.3Hz  74Hz  127Hz  120.7dB   12l +  14l  * 1x50mm    756mm
 47.1Hz  79Hz  131Hz  122.2dB   11l +  14l  * 1x50mm    674mm
 51.2Hz  83Hz  135Hz  123.7dB   10l +  14l  * 1x50mm    600mm
 55.7Hz  88Hz  140Hz  125.1dB    9l +  14l  * 1x50mm    535mm
 60.4Hz  93Hz  144Hz  126.5dB    8l +  14l  * 1x50mm    477mm
 65.5Hz  99Hz  150Hz  127.9dB    7l +  14l  * 1x50mm    425mm
 70.9Hz 105Hz  155Hz  129.3dB    6l +  14l  - 1x70mm    743mm
-------------
sw-12-16FR
            84.7dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.0Hz  24Hz   38Hz  102.4dB 66018l + 163l  * 1x50mm    635mm
