-------------
SHX-8S4
            86.7dB           200W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 27.1Hz  54Hz   80Hz  104.2dB   19l +   9l  * 1x50mm   2191mm
 29.6Hz  58Hz   82Hz  105.7dB   16l +   9l  * 1x50mm   1953mm
 32.2Hz  61Hz   85Hz  107.2dB   13l +   9l  * 1x50mm   1741mm
 34.9Hz  65Hz   88Hz  108.6dB   11l +   9l  * 1x50mm   1551mm
 37.9Hz  68Hz   91Hz  110.0dB   10l +   9l  * 1x50mm   1383mm
 41.1Hz  62Hz   94Hz  111.4dB   13l +   9l  * 1x50mm   1677mm
 44.5Hz  64Hz   97Hz  112.8dB   12l +   9l  * 1x50mm   1571mm
 48.1Hz  70Hz  101Hz  114.2dB    9l +   9l  * 1x50mm   1332mm
 44.7Hz  74Hz  105Hz  112.9dB    8l +   9l  * 1x50mm   1187mm
 48.8Hz  78Hz  109Hz  114.4dB    7l +   9l  * 1x50mm   1058mm
 60.5Hz  83Hz  113Hz  118.2dB    6l +   9l  * 1x50mm    943mm
 19.0Hz  46Hz  112Hz   98.0dB   36l +   6l  * 1x50mm   4371mm
 21.0Hz  49Hz  114Hz   99.7dB   28l +   6l  * 1x50mm   3897mm
 23.1Hz  52Hz  116Hz  101.4dB   23l +   6l  * 1x50mm   3473mm
 25.4Hz  55Hz  118Hz  103.1dB   19l +   6l  * 1x50mm   3095mm
 27.9Hz  58Hz  121Hz  104.7dB   15l +   6l  * 1x50mm   2759mm
 30.6Hz  62Hz  124Hz  106.3dB   13l +   6l  * 1x50mm   2458mm
 33.6Hz  65Hz  127Hz  107.9dB   11l +   6l  * 1x50mm   2191mm
 36.7Hz  69Hz  130Hz  109.5dB    9l +   6l  * 1x50mm   1953mm
 40.2Hz  73Hz  133Hz  111.0dB    8l +   6l  * 1x50mm   1740mm
 43.9Hz  77Hz  137Hz  112.6dB    7l +   6l  * 1x50mm   1551mm
 47.8Hz  82Hz  141Hz  114.1dB    6l +   6l  * 1x50mm   1383mm
 52.1Hz  87Hz  145Hz  115.5dB    5l +   6l  * 1x50mm   1232mm
 56.7Hz  92Hz  150Hz  117.0dB    5l +   6l  * 1x50mm   1098mm
 61.6Hz  98Hz  155Hz  118.5dB    4l +   6l  * 1x50mm    979mm
 66.8Hz 103Hz  160Hz  119.9dB    4l +   6l  * 1x50mm    872mm
 72.4Hz 109Hz  165Hz  121.3dB    3l +   6l  * 1x50mm    777mm
 78.4Hz 116Hz  171Hz  122.7dB    3l +   6l  * 1x50mm    693mm
-------------
SHX-12S4
            88.2dB           400W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.6Hz  31Hz   63Hz   98.8dB 1404l +  31l  * 1x70mm   3811mm
 17.1Hz  33Hz   64Hz  100.4dB  404l +  31l  * 1x70mm   3397mm
 18.7Hz  35Hz   66Hz  102.0dB  225l +  31l  * 1x70mm   3028mm
 20.4Hz  37Hz   68Hz  103.5dB  150l +  31l  * 1x70mm   2698mm
 22.3Hz  39Hz   70Hz  105.0dB  109l +  31l  * 1x70mm   2405mm
 24.3Hz  42Hz   72Hz  106.5dB   84l +  31l  * 1x70mm   2143mm
 26.5Hz  44Hz   74Hz  108.0dB   66l +  31l  * 1x70mm   1910mm
 28.8Hz  47Hz   76Hz  109.5dB   54l +  31l  * 1x70mm   1702mm
 31.3Hz  50Hz   79Hz  110.9dB   44l +  31l  * 1x70mm   1517mm
 34.0Hz  53Hz   81Hz  112.3dB   37l +  31l  * 1x70mm   1352mm
 36.8Hz  56Hz   84Hz  113.7dB   31l +  31l  * 1x70mm   1205mm
 39.9Hz  57Hz   87Hz  115.1dB   29l +  31l  * 1x70mm   1129mm
 43.1Hz  62Hz   90Hz  116.5dB   23l +  31l  * 1x70mm    957mm
 46.6Hz  66Hz   94Hz  117.8dB   20l +  31l  * 1x70mm    853mm
 50.3Hz  70Hz   98Hz  119.2dB   17l +  31l  * 1x70mm    761mm
 54.2Hz  74Hz  101Hz  120.5dB   15l +  31l  * 1x70mm    678mm
 14.2Hz  34Hz   61Hz   97.2dB  264l +  23l  * 1x70mm   4276mm
 15.6Hz  36Hz   63Hz   98.8dB  169l +  23l  * 1x70mm   3811mm
