-------------
GZTW10MK2
            85.2dB           300W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 11.6Hz  26Hz   44Hz   96.0dB  409l +  55l  * 1x50mm   1562mm
 12.7Hz  28Hz   45Hz   97.5dB  281l +  55l  * 1x50mm   1392mm
 13.9Hz  29Hz   46Hz   99.1dB  208l +  55l  * 1x50mm   1241mm
 15.2Hz  31Hz   47Hz  100.6dB  160l +  55l  * 1x50mm   1106mm
 16.5Hz  33Hz   49Hz  102.1dB  128l +  55l  * 1x50mm    986mm
 18.0Hz  35Hz   50Hz  103.6dB  104l +  55l  * 1x50mm    879mm
 19.6Hz  37Hz   52Hz  105.0dB   86l +  55l  * 1x50mm    783mm
 21.3Hz  39Hz   53Hz  106.5dB   72l +  55l  * 1x50mm    698mm
 23.1Hz  42Hz   55Hz  107.9dB   61l +  55l  * 1x50mm    622mm
 25.0Hz  38Hz   57Hz  109.3dB   82l +  55l  * 1x50mm    755mm
 27.1Hz  39Hz   59Hz  110.7dB   74l +  55l  * 1x50mm    707mm
 29.3Hz  42Hz   61Hz  112.0dB   58l +  55l  * 1x50mm    599mm
 27.2Hz  45Hz   64Hz  110.8dB   50l +  55l  * 1x50mm    534mm
 29.7Hz  48Hz   66Hz  112.3dB   43l +  55l  * 1x50mm    476mm
 36.9Hz  50Hz   69Hz  116.0dB   37l +  55l  * 1x50mm    424mm
 11.6Hz  28Hz   68Hz   95.9dB  266l +  38l  * 1x50mm   1967mm
 12.8Hz  30Hz   69Hz   97.6dB  198l +  38l  * 1x50mm   1753mm
 14.1Hz  32Hz   71Hz   99.3dB  154l +  38l  * 1x50mm   1563mm
 15.5Hz  33Hz   72Hz  101.0dB  124l +  38l  * 1x50mm   1392mm
 17.0Hz  35Hz   74Hz  102.6dB  101l +  38l  * 1x50mm   1241mm
 18.7Hz  37Hz   75Hz  104.2dB   84l +  38l  * 1x50mm   1106mm
 20.4Hz  40Hz   77Hz  105.8dB   70l +  38l  * 1x50mm    986mm
 22.4Hz  42Hz   79Hz  107.4dB   60l +  38l  * 1x50mm    878mm
 24.5Hz  45Hz   81Hz  108.9dB   51l +  38l  * 1x50mm    783mm
 26.7Hz  47Hz   83Hz  110.4dB   44l +  38l  * 1x50mm    698mm
 29.1Hz  50Hz   86Hz  111.9dB   38l +  38l  * 1x50mm    622mm
 31.7Hz  53Hz   88Hz  113.4dB   33l +  38l  * 1x50mm    554mm
 34.5Hz  56Hz   91Hz  114.9dB   29l +  38l  * 1x50mm    494mm
 37.5Hz  59Hz   94Hz  116.3dB   25l +  38l  * 1x50mm    440mm
 40.7Hz  63Hz   97Hz  117.7dB   22l +  38l  - 1x70mm    769mm
 44.1Hz  67Hz  101Hz  119.1dB   19l +  38l  - 1x70mm    686mm
 47.7Hz  71Hz  104Hz  120.5dB   17l +  38l  - 1x70mm    611mm
-------------
GZRW 10     
            89.4dB           400W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.6Hz  33Hz   68Hz  100.2dB  191l +  13l  * 1x50mm   4147mm
 17.2Hz  34Hz   69Hz  101.8dB  113l +  13l  * 1x50mm   3696mm
 18.8Hz  36Hz   71Hz  103.4dB   78l +  13l  * 1x50mm   3294mm
 20.6Hz  39Hz   73Hz  105.0dB   57l +  13l  * 1x50mm   2936mm
 22.5Hz  41Hz   74Hz  106.5dB   44l +  13l  * 1x50mm   2616mm
 24.6Hz  43Hz   77Hz  108.1dB   35l +  13l  * 1x50mm   2332mm
 26.8Hz  46Hz   79Hz  109.6dB   29l +  13l  * 1x50mm   2078mm
 29.2Hz  49Hz   81Hz  111.0dB   24l +  13l  * 1x50mm   1853mm
 31.7Hz  52Hz   84Hz  112.5dB   20l +  13l  * 1x50mm   1651mm
 34.5Hz  55Hz   86Hz  113.9dB   17l +  13l  * 1x50mm   1471mm
 37.4Hz  58Hz   89Hz  115.4dB   14l +  13l  * 1x50mm   1312mm
 40.5Hz  61Hz   93Hz  116.8dB   12l +  13l  * 1x50mm   1169mm
 43.9Hz  63Hz   96Hz  118.1dB   11l +  13l  * 1x50mm   1095mm
 47.5Hz  69Hz   99Hz  119.5dB    9l +  13l  * 1x50mm    928mm
 51.3Hz  73Hz  103Hz  120.9dB    8l +  13l  * 1x50mm    827mm
 55.4Hz  77Hz  107Hz  122.2dB    7l +  13l  * 1x50mm    737mm
 59.7Hz  82Hz  112Hz  123.5dB    6l +  13l  * 1x50mm    657mm
 15.6Hz  38Hz   68Hz  100.2dB   63l +  10l  * 1x50mm   4147mm
