-------------
L18S801
            99.5dB           700W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 83.3Hz 114Hz  156Hz  130.7dB   23l +  40l  * 1x100mm   452mm
 26.2Hz  63Hz  154Hz  110.6dB   87l +  28l  * 1x100mm  2097mm
 28.8Hz  67Hz  157Hz  112.3dB   76l +  28l  * 1x100mm  1869mm
 31.8Hz  71Hz  160Hz  114.0dB   66l +  28l  * 1x100mm  1666mm
 35.0Hz  75Hz  163Hz  115.7dB   57l +  28l  * 1x100mm  1485mm
 38.4Hz  80Hz  166Hz  117.3dB   50l +  28l  * 1x100mm  1323mm
 42.2Hz  85Hz  170Hz  118.9dB   44l +  28l  * 1x100mm  1179mm
 46.2Hz  90Hz  174Hz  120.5dB   39l +  28l  * 1x100mm  1051mm
 50.6Hz  95Hz  178Hz  122.1dB   34l +  28l  * 1x100mm   937mm
 55.3Hz 101Hz  183Hz  123.6dB   30l +  28l  * 1x100mm   835mm
 60.3Hz 107Hz  188Hz  125.1dB   27l +  28l  * 1x100mm   744mm
 65.8Hz 113Hz  194Hz  126.7dB   24l +  28l  * 1x100mm   663mm
 71.7Hz 120Hz  200Hz  128.1dB   21l +  28l  * 1x100mm   591mm
 78.0Hz 127Hz  206Hz  129.6dB   18l +  28l  * 1x100mm   527mm
 84.7Hz 134Hz  213Hz  131.0dB   16l +  28l  * 1x100mm   469mm
-------------
LF18G401
            98.0dB           900W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 23.8Hz  50Hz  103Hz  112.8dB  214l +  47l  * 1x100mm  2028mm
 26.1Hz  52Hz  105Hz  114.4dB  175l +  47l  * 1x100mm  1807mm
 28.7Hz  56Hz  108Hz  116.0dB  146l +  47l  * 1x100mm  1611mm
 31.4Hz  59Hz  111Hz  117.6dB  123l +  47l  * 1x100mm  1436mm
 34.3Hz  62Hz  114Hz  119.1dB  104l +  47l  * 1x100mm  1279mm
 37.4Hz  66Hz  117Hz  120.6dB   89l +  47l  * 1x100mm  1140mm
 40.8Hz  70Hz  120Hz  122.1dB   77l +  47l  * 1x100mm  1016mm
 44.4Hz  74Hz  124Hz  123.6dB   66l +  47l  * 1x100mm   906mm
 48.3Hz  79Hz  128Hz  125.1dB   57l +  47l  * 1x100mm   807mm
 52.5Hz  83Hz  132Hz  126.5dB   50l +  47l  * 1x100mm   720mm
 57.0Hz  88Hz  136Hz  127.9dB   44l +  47l  * 1x100mm   641mm
 61.8Hz  93Hz  141Hz  129.3dB   38l +  47l  * 1x100mm   572mm
 66.9Hz  96Hz  146Hz  130.7dB   36l +  47l  * 1x100mm   535mm
 72.4Hz 105Hz  152Hz  132.1dB   30l +  47l  * 1x100mm   454mm
 78.2Hz 111Hz  157Hz  133.4dB   26l +  47l  * 1x100mm   405mm
 84.4Hz 117Hz  164Hz  134.7dB   23l +  47l  - 2x100mm   717mm
 23.8Hz  58Hz  103Hz  112.8dB  130l +  35l  * 1x100mm  2028mm
 26.1Hz  61Hz  105Hz  114.4dB  110l +  35l  * 1x100mm  1807mm
 28.7Hz  65Hz  108Hz  116.0dB   94l +  35l  * 1x100mm  1611mm
 31.4Hz  69Hz  111Hz  117.6dB   80l +  35l  * 1x100mm  1436mm
 34.3Hz  73Hz  114Hz  119.1dB   69l +  35l  * 1x100mm  1280mm
 37.4Hz  77Hz  117Hz  120.6dB   60l +  35l  * 1x100mm  1140mm
 40.8Hz  82Hz  120Hz  122.1dB   52l +  35l  * 1x100mm  1016mm
 44.4Hz  86Hz  124Hz  123.6dB   46l +  35l  * 1x100mm   906mm
 48.3Hz  92Hz  128Hz  125.1dB   40l +  35l  * 1x100mm   807mm
 52.5Hz  97Hz  132Hz  126.5dB   35l +  35l  * 1x100mm   720mm
 57.0Hz 103Hz  136Hz  127.9dB   31l +  35l  * 1x100mm   641mm
 61.8Hz  93Hz  141Hz  129.3dB   38l +  35l  * 1x100mm   778mm
 66.9Hz  96Hz  146Hz  130.7dB   36l +  35l  * 1x100mm   729mm
 72.4Hz 105Hz  152Hz  132.1dB   30l +  35l  * 1x100mm   618mm
 67.2Hz 111Hz  157Hz  130.8dB   26l +  35l  * 1x100mm   551mm
 73.4Hz 117Hz  164Hz  132.3dB   23l +  35l  * 1x100mm   491mm
 28.6Hz  69Hz  168Hz  115.9dB   78l +  24l  * 1x100mm  2028mm
 31.5Hz  73Hz  171Hz  117.6dB   68l +  24l  * 1x100mm  1808mm
 34.7Hz  78Hz  174Hz  119.3dB   59l +  24l  * 1x100mm  1611mm
 38.2Hz  82Hz  178Hz  121.0dB   51l +  24l  * 1x100mm  1436mm
 42.0Hz  87Hz  182Hz  122.6dB   45l +  24l  * 1x100mm  1280mm
 46.1Hz  93Hz  186Hz  124.2dB   39l +  24l  * 1x100mm  1140mm
 50.5Hz  98Hz  190Hz  125.8dB   34l +  24l  * 1x100mm  1016mm
 55.2Hz 104Hz  195Hz  127.4dB   30l +  24l  * 1x100mm   906mm
 60.4Hz 110Hz  200Hz  128.9dB   27l +  24l  * 1x100mm   807mm
 65.9Hz 116Hz  206Hz  130.5dB   23l +  24l  * 1x100mm   719mm
 71.9Hz 123Hz  212Hz  132.0dB   21l +  24l  * 1x100mm   641mm
 78.3Hz 131Hz  218Hz  133.5dB   18l +  24l  * 1x100mm   572mm
-------------
LF18P300
            97.0dB          1000W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.1Hz  44Hz   91Hz  109.2dB  295l +  51l  * 1x100mm  2405mm
 23.1Hz  46Hz   93Hz  110.9dB  230l +  51l  * 1x100mm  2143mm
 25.4Hz  49Hz   95Hz  112.5dB  185l +  51l  * 1x100mm  1910mm
 27.8Hz  52Hz   98Hz  114.0dB  151l +  51l  * 1x100mm  1703mm
 30.3Hz  55Hz  100Hz  115.6dB  126l +  51l  * 1x100mm  1517mm
 33.1Hz  58Hz  103Hz  117.1dB  106l +  51l  * 1x100mm  1352mm
 36.1Hz  62Hz  106Hz  118.6dB   90l +  51l  * 1x100mm  1205mm
 39.3Hz  66Hz  109Hz  120.1dB   77l +  51l  * 1x100mm  1074mm
 42.8Hz  70Hz  113Hz  121.5dB   66l +  51l  * 1x100mm   957mm
 46.5Hz  74Hz  117Hz  123.0dB   57l +  51l  * 1x100mm   853mm
 50.4Hz  78Hz  121Hz  124.4dB   49l +  51l  * 1x100mm   761mm
 54.7Hz  83Hz  125Hz  125.8dB   43l +  51l  * 1x100mm   678mm
 59.2Hz  85Hz  129Hz  127.2dB   40l +  51l  * 1x100mm   635mm
 64.0Hz  93Hz  134Hz  128.5dB   33l +  51l  * 1x100mm   538mm
 69.2Hz  98Hz  139Hz  129.9dB   29l +  51l  * 1x100mm   480mm
 74.7Hz 104Hz  145Hz  131.2dB   25l +  51l  * 1x100mm   428mm
 80.5Hz 110Hz  151Hz  132.5dB   22l +  51l  - 2x100mm   758mm
 21.1Hz  51Hz   91Hz  109.2dB  161l +  37l  * 1x100mm  2405mm
 23.1Hz  54Hz   93Hz  110.9dB  133l +  37l  * 1x100mm  2143mm
 25.4Hz  57Hz   95Hz  112.5dB  112l +  37l  * 1x100mm  1910mm
 27.8Hz  61Hz   98Hz  114.0dB   94l +  37l  * 1x100mm  1703mm
 30.3Hz  64Hz  100Hz  115.6dB   80l +  37l  * 1x100mm  1517mm
