-------------
5W3211B
            87.2dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 27.7Hz  63Hz  104Hz   91.8dB   42l +   6l  * 1x40mm   1478mm
 30.4Hz  67Hz  107Hz   93.4dB   30l +   6l  * 1x40mm   1318mm
 33.2Hz  70Hz  110Hz   94.9dB   23l +   6l  * 1x40mm   1175mm
 36.2Hz  75Hz  113Hz   96.5dB   18l +   6l  * 1x40mm   1047mm
 39.5Hz  79Hz  116Hz   98.0dB   14l +   6l  * 1x40mm    933mm
 43.0Hz  84Hz  120Hz   99.4dB   12l +   6l  * 1x40mm    831mm
 46.8Hz  89Hz  124Hz  100.9dB   10l +   6l  * 1x40mm    741mm
 50.9Hz  94Hz  128Hz  102.3dB    8l +   6l  * 1x40mm    660mm
 55.2Hz 100Hz  132Hz  103.8dB    7l +   6l  * 1x40mm    589mm
 59.8Hz  90Hz  137Hz  105.2dB    9l +   6l  * 1x40mm    714mm
 64.8Hz  93Hz  141Hz  106.5dB    9l +   6l  * 1x40mm    669mm
 70.1Hz 101Hz  147Hz  107.9dB    7l +   6l  * 1x40mm    567mm
 65.1Hz 107Hz  152Hz  106.6dB    6l +   6l  - 1x50mm    790mm
 71.1Hz 114Hz  158Hz  108.1dB    5l +   6l  - 1x50mm    704mm
 88.1Hz 121Hz  165Hz  111.9dB    4l +   6l  - 1x50mm    627mm
 27.7Hz  67Hz  163Hz   91.8dB   29l +   4l  * 1x40mm   1861mm
 30.5Hz  71Hz  166Hz   93.5dB   22l +   4l  * 1x40mm   1659mm
 33.6Hz  75Hz  169Hz   95.1dB   17l +   4l  * 1x40mm   1479mm
 37.0Hz  80Hz  172Hz   96.8dB   14l +   4l  * 1x40mm   1318mm
 40.6Hz  85Hz  176Hz   98.4dB   12l +   4l  * 1x40mm   1174mm
 44.6Hz  90Hz  180Hz  100.1dB   10l +   4l  * 1x40mm   1047mm
 48.9Hz  95Hz  184Hz  101.6dB    8l +   4l  * 1x40mm    933mm
 53.5Hz 100Hz  189Hz  103.2dB    7l +   4l  * 1x40mm    831mm
 58.5Hz 106Hz  194Hz  104.8dB    6l +   4l  * 1x40mm    741mm
 63.8Hz 113Hz  199Hz  106.3dB    5l +   4l  * 1x40mm    660mm
 69.6Hz 119Hz  205Hz  107.8dB    4l +   4l  * 1x40mm    589mm
 75.8Hz 127Hz  211Hz  109.3dB    4l +   4l  * 1x40mm    525mm
 82.5Hz 134Hz  218Hz  110.7dB    3l +   4l  - 1x50mm    731mm
 89.6Hz 142Hz  225Hz  112.2dB    3l +   4l  - 1x50mm    651mm
 97.2Hz 150Hz  233Hz  113.6dB    3l +   4l  - 1x50mm    580mm
105.4Hz 159Hz  241Hz  115.0dB    2l +   4l  - 1x50mm    517mm
114.1Hz 169Hz  249Hz  116.4dB    2l +   4l  - 1x50mm    461mm
-------------
7W4411
            88.0dB            90W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 22.6Hz  47Hz   98Hz   90.7dB   81l +  10l  * 1x40mm   1790mm
 24.8Hz  50Hz  100Hz   92.3dB   57l +  10l  * 1x40mm   1596mm
 27.2Hz  53Hz  102Hz   93.9dB   43l +  10l  * 1x40mm   1422mm
 29.8Hz  56Hz  105Hz   95.5dB   34l +  10l  * 1x40mm   1268mm
 32.5Hz  59Hz  108Hz   97.0dB   27l +  10l  * 1x40mm   1130mm
 35.5Hz  63Hz  111Hz   98.6dB   22l +  10l  * 1x40mm   1007mm
 38.8Hz  66Hz  114Hz  100.1dB   19l +  10l  * 1x40mm    897mm
 42.2Hz  70Hz  117Hz  101.6dB   16l +  10l  * 1x40mm    800mm
 45.9Hz  75Hz  121Hz  103.0dB   13l +  10l  * 1x40mm    713mm
 49.9Hz  79Hz  125Hz  104.5dB   11l +  10l  * 1x40mm    635mm
 54.1Hz  84Hz  129Hz  105.9dB   10l +  10l  * 1x40mm    566mm
 58.7Hz  89Hz  134Hz  107.3dB    8l +  10l  - 1x50mm    788mm
 63.5Hz  92Hz  139Hz  108.7dB    8l +  10l  - 1x50mm    738mm
 68.7Hz  99Hz  144Hz  110.0dB    6l +  10l  - 1x50mm    626mm
 74.2Hz 105Hz  149Hz  111.4dB    6l +  10l  - 1x50mm    558mm
 80.1Hz 112Hz  155Hz  112.7dB    5l +  10l  - 1x50mm    497mm
 86.4Hz 118Hz  162Hz  114.0dB    4l +  10l  - 1x50mm    443mm
 22.6Hz  55Hz   98Hz   90.7dB   36l +   7l  * 1x40mm   1790mm
 24.8Hz  58Hz  100Hz   92.3dB   29l +   7l  * 1x40mm   1595mm
 27.2Hz  62Hz  102Hz   93.9dB   24l +   7l  * 1x40mm   1422mm
 29.8Hz  65Hz  105Hz   95.5dB   20l +   7l  * 1x40mm   1268mm
 32.5Hz  69Hz  108Hz   97.0dB   16l +   7l  * 1x40mm   1130mm
 35.5Hz  73Hz  111Hz   98.6dB   14l +   7l  * 1x40mm   1007mm
 38.8Hz  78Hz  114Hz  100.1dB   12l +   7l  * 1x40mm    897mm
 42.2Hz  82Hz  117Hz  101.6dB   10l +   7l  * 1x40mm    800mm
 45.9Hz  87Hz  121Hz  103.0dB    9l +   7l  * 1x40mm    713mm
 49.9Hz  92Hz  125Hz  104.5dB    8l +   7l  * 1x40mm    635mm
 54.1Hz  98Hz  129Hz  105.9dB    7l +   7l  * 1x40mm    566mm
 58.7Hz  89Hz  134Hz  107.3dB    8l +   7l  * 1x40mm    687mm
 63.5Hz  92Hz  139Hz  108.7dB    8l +   7l  * 1x40mm    643mm
 68.7Hz  99Hz  144Hz  110.0dB    6l +   7l  * 1x40mm    546mm
 63.8Hz 105Hz  149Hz  108.7dB    6l +   7l  - 1x50mm    760mm
 69.7Hz 112Hz  155Hz  110.3dB    5l +   7l  - 1x50mm    677mm
 86.4Hz 118Hz  162Hz  114.0dB    4l +   7l  - 1x50mm    603mm
 27.1Hz  66Hz  160Hz   93.9dB   19l +   5l  * 1x40mm   1790mm
 29.9Hz  70Hz  163Hz   95.6dB   16l +   5l  * 1x40mm   1596mm
 33.0Hz  74Hz  166Hz   97.3dB   14l +   5l  * 1x40mm   1422mm
 36.3Hz  78Hz  169Hz   98.9dB   12l +   5l  * 1x40mm   1267mm
 39.8Hz  83Hz  173Hz  100.6dB   10l +   5l  * 1x40mm   1130mm
 43.7Hz  88Hz  176Hz  102.2dB    9l +   5l  * 1x40mm   1007mm
 47.9Hz  93Hz  181Hz  103.8dB    7l +   5l  * 1x40mm    897mm
 52.5Hz  99Hz  185Hz  105.3dB    6l +   5l  * 1x40mm    800mm
 57.3Hz 104Hz  190Hz  106.9dB    6l +   5l  * 1x40mm    713mm
 62.6Hz 111Hz  195Hz  108.4dB    5l +   5l  * 1x40mm    635mm
 68.3Hz 117Hz  201Hz  109.9dB    4l +   5l  * 1x40mm    566mm
 74.3Hz 124Hz  207Hz  111.4dB    4l +   5l  - 1x50mm    788mm
 80.9Hz 131Hz  214Hz  112.9dB    3l +   5l  - 1x50mm    703mm
 87.9Hz 139Hz  221Hz  114.3dB    3l +   5l  - 1x50mm    626mm
 95.4Hz 147Hz  228Hz  115.7dB    3l +   5l  - 1x50mm    558mm
103.4Hz 156Hz  236Hz  117.1dB    2l +   5l  - 1x50mm    497mm
111.9Hz 165Hz  245Hz  118.5dB    2l +   5l  - 1x50mm    443mm
-------------
11V7512D
            89.4dB           225W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.8Hz  37Hz   77Hz   96.2dB  106l +  24l  * 1x50mm   1813mm
 19.5Hz  39Hz   79Hz   97.9dB   87l +  24l  * 1x50mm   1616mm
 21.4Hz  42Hz   81Hz   99.5dB   72l +  24l  * 1x50mm   1440mm
 23.4Hz  44Hz   83Hz  101.0dB   61l +  24l  * 1x50mm   1284mm
 25.6Hz  47Hz   85Hz  102.6dB   52l +  24l  * 1x50mm   1144mm
 28.0Hz  49Hz   87Hz  104.1dB   44l +  24l  * 1x50mm   1020mm
 30.5Hz  52Hz   90Hz  105.6dB   38l +  24l  * 1x50mm    909mm
 33.2Hz  55Hz   92Hz  107.1dB   33l +  24l  * 1x50mm    810mm
 36.1Hz  59Hz   95Hz  108.5dB   29l +  24l  * 1x50mm    722mm
 39.2Hz  62Hz   98Hz  110.0dB   25l +  24l  * 1x50mm    643mm
 42.6Hz  66Hz  102Hz  111.4dB   22l +  24l  * 1x50mm    574mm
 46.1Hz  70Hz  105Hz  112.8dB   19l +  24l  * 1x50mm    511mm
 50.0Hz  72Hz  109Hz  114.2dB   18l +  24l  * 1x50mm    479mm
 54.0Hz  78Hz  113Hz  115.5dB   15l +  24l  - 1x70mm    796mm
 58.4Hz  83Hz  118Hz  116.9dB   13l +  24l  - 1x70mm    709mm
 63.0Hz  88Hz  122Hz  118.2dB   11l +  24l  - 1x70mm    632mm
 68.0Hz  93Hz  127Hz  119.5dB   10l +  24l  - 1x70mm    563mm
 17.8Hz  43Hz   77Hz   96.2dB   64l +  17l  * 1x50mm   1813mm
 19.5Hz  46Hz   79Hz   97.9dB   55l +  17l  * 1x50mm   1616mm
