-------------
5W3211B
            87.2dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 19.2Hz  36Hz   68Hz  102.9dB  270l +  82l  * 1x70mm   1082mm
 21.0Hz  38Hz   69Hz  104.5dB  220l +  82l  * 1x70mm    964mm
 22.9Hz  40Hz   71Hz  106.0dB  182l +  82l  * 1x70mm    859mm
 25.0Hz  43Hz   73Hz  107.5dB  153l +  82l  * 1x70mm    766mm
 27.2Hz  45Hz   76Hz  109.0dB  130l +  82l  * 1x70mm    682mm
 29.6Hz  48Hz   78Hz  110.4dB  111l +  82l  * 1x70mm    608mm
 32.1Hz  51Hz   81Hz  111.9dB   95l +  82l  * 1x70mm    542mm
 34.9Hz  54Hz   83Hz  113.3dB   82l +  82l  * 1x70mm    483mm
 37.8Hz  57Hz   86Hz  114.7dB   71l +  82l  * 1x70mm    431mm
 40.9Hz  59Hz   89Hz  116.1dB   66l +  82l  * 1x70mm    403mm
 44.3Hz  64Hz   93Hz  117.4dB   54l +  82l  - 1x100mm   698mm
 47.9Hz  68Hz   96Hz  118.8dB   47l +  82l  - 1x100mm   622mm
 51.7Hz  72Hz  100Hz  120.1dB   41l +  82l  - 1x100mm   554mm
 55.7Hz  76Hz  104Hz  121.4dB   36l +  82l  - 1x100mm   494mm
 14.6Hz  35Hz   63Hz   98.1dB  289l +  60l  * 1x70mm   1527mm
 16.0Hz  37Hz   65Hz   99.8dB  234l +  60l  * 1x70mm   1361mm
 17.5Hz  40Hz   66Hz  101.3dB  193l +  60l  * 1x70mm   1213mm
 19.2Hz  42Hz   68Hz  102.9dB  162l +  60l  * 1x70mm   1081mm
 21.0Hz  45Hz   69Hz  104.5dB  137l +  60l  * 1x70mm    964mm
 22.9Hz  47Hz   71Hz  106.0dB  116l +  60l  * 1x70mm    859mm
 25.0Hz  50Hz   73Hz  107.5dB  100l +  60l  * 1x70mm    766mm
 27.2Hz  53Hz   76Hz  109.0dB   86l +  60l  * 1x70mm    682mm
 29.6Hz  56Hz   78Hz  110.4dB   74l +  60l  * 1x70mm    608mm
 32.1Hz  59Hz   81Hz  111.9dB   65l +  60l  * 1x70mm    542mm
 34.9Hz  63Hz   83Hz  113.3dB   56l +  60l  * 1x70mm    483mm
 37.8Hz  57Hz   86Hz  114.7dB   71l +  60l  * 1x70mm    586mm
 40.9Hz  59Hz   89Hz  116.1dB   66l +  60l  * 1x70mm    549mm
 44.3Hz  64Hz   93Hz  117.4dB   54l +  60l  * 1x70mm    465mm
 41.1Hz  68Hz   96Hz  116.2dB   47l +  60l  * 1x70mm    415mm
 44.9Hz  72Hz  100Hz  117.7dB   41l +  60l  - 1x100mm   755mm
 55.7Hz  76Hz  104Hz  121.4dB   36l +  60l  - 1x100mm   672mm
 17.5Hz  42Hz  103Hz  101.3dB  157l +  42l  * 1x70mm   1527mm
 19.3Hz  45Hz  105Hz  103.0dB  133l +  42l  * 1x70mm   1362mm
 21.3Hz  48Hz  107Hz  104.7dB  113l +  42l  * 1x70mm   1213mm
 23.4Hz  50Hz  109Hz  106.3dB   97l +  42l  * 1x70mm   1081mm
 25.7Hz  53Hz  111Hz  108.0dB   84l +  42l  * 1x70mm    964mm
 28.2Hz  57Hz  114Hz  109.6dB   73l +  42l  * 1x70mm    859mm
 30.9Hz  60Hz  116Hz  111.2dB   63l +  42l  * 1x70mm    765mm
 33.8Hz  64Hz  119Hz  112.8dB   55l +  42l  * 1x70mm    682mm
 37.0Hz  67Hz  123Hz  114.3dB   48l +  42l  * 1x70mm    608mm
 40.4Hz  71Hz  126Hz  115.8dB   42l +  42l  * 1x70mm    542mm
 44.0Hz  76Hz  130Hz  117.3dB   37l +  42l  * 1x70mm    483mm
 47.9Hz  80Hz  133Hz  118.8dB   33l +  42l  * 1x70mm    431mm
 52.1Hz  85Hz  138Hz  120.3dB   29l +  42l  - 1x100mm   783mm
 56.6Hz  90Hz  142Hz  121.7dB   25l +  42l  - 1x100mm   698mm
 61.5Hz  95Hz  147Hz  123.1dB   22l +  42l  - 1x100mm   622mm
 66.6Hz 101Hz  152Hz  124.5dB   20l +  42l  - 1x100mm   554mm
 72.1Hz 107Hz  158Hz  125.9dB   18l +  42l  - 1x100mm   494mm
