-------------
S21 L1000
            98.0dB          1000W      4x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 35.7Hz  81Hz  134Hz  119.3dB   50l +  21l  * 1x100mm  1760mm
 39.1Hz  86Hz  138Hz  120.8dB   44l +  21l  * 1x100mm  1569mm
 42.7Hz  91Hz  141Hz  122.4dB   38l +  21l  * 1x100mm  1399mm
 46.6Hz  96Hz  145Hz  123.9dB   33l +  21l  * 1x100mm  1246mm
 50.8Hz 102Hz  150Hz  125.4dB   29l +  21l  * 1x100mm  1111mm
 55.4Hz 108Hz  154Hz  126.9dB   26l +  21l  * 1x100mm   990mm
 60.2Hz 114Hz  159Hz  128.4dB   23l +  21l  * 1x100mm   882mm
 65.4Hz 121Hz  164Hz  129.8dB   20l +  21l  * 1x100mm   786mm
 71.0Hz 128Hz  170Hz  131.2dB   18l +  21l  * 1x100mm   701mm
 76.9Hz 116Hz  176Hz  132.6dB   22l +  21l  * 1x100mm   850mm
 83.3Hz 120Hz  182Hz  134.0dB   20l +  21l  * 1x100mm   796mm
 90.1Hz 130Hz  189Hz  135.4dB   17l +  21l  * 1x100mm   675mm
 83.7Hz 138Hz  196Hz  134.1dB   15l +  21l  * 1x100mm   602mm
 91.4Hz 146Hz  204Hz  135.6dB   13l +  21l  * 1x100mm   536mm
113.3Hz 155Hz  212Hz  139.3dB   12l +  21l  * 1x100mm   478mm
 35.6Hz  86Hz  210Hz  119.2dB   43l +  14l  * 1x100mm  2216mm
 39.3Hz  92Hz  213Hz  120.9dB   37l +  14l  * 1x100mm  1975mm
 43.2Hz  97Hz  217Hz  122.6dB   33l +  14l  * 1x100mm  1761mm
 47.6Hz 103Hz  222Hz  124.3dB   29l +  14l  * 1x100mm  1569mm
 52.3Hz 109Hz  226Hz  125.9dB   25l +  14l  * 1x100mm  1398mm
 57.4Hz 115Hz  231Hz  127.5dB   22l +  14l  * 1x100mm  1246mm
 62.9Hz 122Hz  237Hz  129.1dB   20l +  14l  * 1x100mm  1111mm
 68.8Hz 129Hz  243Hz  130.7dB   17l +  14l  * 1x100mm   990mm
 75.2Hz 137Hz  249Hz  132.2dB   15l +  14l  * 1x100mm   882mm
 82.1Hz 145Hz  256Hz  133.8dB   13l +  14l  * 1x100mm   786mm
 89.6Hz 154Hz  264Hz  135.3dB   12l +  14l  * 1x100mm   701mm
 97.5Hz 163Hz  272Hz  136.7dB   11l +  14l  * 1x100mm   625mm
106.1Hz 172Hz  280Hz  138.2dB    9l +  14l  * 1x100mm   557mm
115.3Hz 183Hz  289Hz  139.6dB    8l +  14l  * 1x100mm   496mm
125.1Hz 193Hz  299Hz  141.1dB    7l +  14l  * 1x100mm   442mm
135.6Hz 205Hz  310Hz  142.5dB    7l +  14l  - 2x100mm   784mm
146.8Hz 217Hz  321Hz  143.8dB    6l +  14l  - 2x100mm   698mm
-------------
R1830
            97.0dB           350W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 12.4Hz  26Hz   54Hz  100.2dB -632l + 182l  * 1x100mm  1955mm
 13.6Hz  27Hz   55Hz  101.8dB -761l + 182l  * 1x100mm  1742mm
 14.9Hz  29Hz   56Hz  103.4dB -986l + 182l  * 1x100mm  1553mm
 16.3Hz  31Hz   57Hz  105.0dB -1475l + 182l  * 1x100mm  1384mm
 17.8Hz  32Hz   59Hz  106.5dB -3340l + 182l  * 1x100mm  1233mm
 19.5Hz  34Hz   61Hz  108.1dB 8051l + 182l  * 1x100mm  1099mm
 21.2Hz  36Hz   62Hz  109.6dB 1668l + 182l  * 1x100mm   980mm
 23.1Hz  39Hz   64Hz  111.0dB  883l + 182l  * 1x100mm   873mm
 25.1Hz  41Hz   66Hz  112.5dB  577l + 182l  * 1x100mm   778mm
 27.3Hz  43Hz   68Hz  113.9dB  416l + 182l  * 1x100mm   694mm
 29.6Hz  46Hz   71Hz  115.4dB  317l + 182l  * 1x100mm   618mm
 32.1Hz  49Hz   73Hz  116.8dB  250l + 182l  * 1x100mm   551mm
 34.8Hz  50Hz   76Hz  118.1dB  221l + 182l  * 1x100mm   516mm
 37.6Hz  54Hz   79Hz  119.5dB  166l + 182l  * 1x100mm   438mm
 40.6Hz  58Hz   82Hz  120.9dB  139l + 182l  - 2x100mm   775mm
 43.9Hz  61Hz   85Hz  122.2dB  117l + 182l  - 2x100mm   691mm
 47.3Hz  65Hz   88Hz  123.5dB   99l + 182l  - 2x100mm   616mm
 12.4Hz  30Hz   54Hz  100.2dB -1266l + 133l  * 1x100mm  1955mm
 13.6Hz  32Hz   55Hz  101.8dB -2350l + 133l  * 1x100mm  1742mm
 14.9Hz  34Hz   56Hz  103.4dB -58272l + 133l  * 1x100mm  1553mm
 16.3Hz  36Hz   57Hz  105.0dB 2271l + 133l  * 1x100mm  1384mm
 17.8Hz  38Hz   59Hz  106.5dB 1048l + 133l  * 1x100mm  1234mm
 19.5Hz  40Hz   61Hz  108.1dB  653l + 133l  * 1x100mm  1099mm
 21.2Hz  42Hz   62Hz  109.6dB  459l + 133l  * 1x100mm   980mm
 23.1Hz  45Hz   64Hz  111.0dB  344l + 133l  * 1x100mm   873mm
 25.1Hz  48Hz   66Hz  112.5dB  269l + 133l  * 1x100mm   778mm
 27.3Hz  50Hz   68Hz  113.9dB  216l + 133l  * 1x100mm   694mm
 29.6Hz  53Hz   71Hz  115.4dB  177l + 133l  * 1x100mm   618mm
 32.1Hz  49Hz   73Hz  116.8dB  250l + 133l  * 1x100mm   750mm
 34.8Hz  50Hz   76Hz  118.1dB  221l + 133l  * 1x100mm   702mm
 37.6Hz  54Hz   79Hz  119.5dB  166l + 133l  * 1x100mm   596mm
 34.9Hz  58Hz   82Hz  118.2dB  139l + 133l  * 1x100mm   531mm
 38.2Hz  61Hz   85Hz  119.8dB  117l + 133l  * 1x100mm   473mm
 47.3Hz  65Hz   88Hz  123.5dB   99l + 133l  * 1x100mm   422mm
 14.9Hz  36Hz   88Hz  103.4dB 1912l +  93l  * 1x100mm  1955mm
 16.4Hz  38Hz   89Hz  105.1dB  956l +  93l  * 1x100mm  1743mm
 18.1Hz  40Hz   91Hz  106.8dB  612l +  93l  * 1x100mm  1553mm
 19.9Hz  43Hz   93Hz  108.4dB  436l +  93l  * 1x100mm  1384mm
 21.8Hz  45Hz   94Hz  110.0dB  330l +  93l  * 1x100mm  1234mm
 23.9Hz  48Hz   97Hz  111.7dB  259l +  93l  * 1x100mm  1099mm
 26.2Hz  51Hz   99Hz  113.3dB  208l +  93l  * 1x100mm   980mm
 28.7Hz  54Hz  101Hz  114.8dB  171l +  93l  * 1x100mm   873mm
 31.4Hz  57Hz  104Hz  116.4dB  142l +  93l  * 1x100mm   778mm
 34.3Hz  61Hz  107Hz  117.9dB  120l +  93l  * 1x100mm   694mm
 37.4Hz  64Hz  110Hz  119.4dB  102l +  93l  * 1x100mm   618mm
 40.7Hz  68Hz  113Hz  120.9dB   87l +  93l  * 1x100mm   551mm
 44.3Hz  72Hz  117Hz  122.3dB   75l +  93l  * 1x100mm   491mm
 48.1Hz  76Hz  121Hz  123.8dB   65l +  93l  * 1x100mm   438mm
 52.2Hz  81Hz  125Hz  125.2dB   56l +  93l  - 2x100mm   776mm
 56.6Hz  86Hz  129Hz  126.6dB   49l +  93l  - 2x100mm   691mm
 61.3Hz  91Hz  134Hz  128.0dB   43l +  93l  - 2x100mm   616mm
-------------
R1840
            97.0dB           450W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.7Hz  33Hz   68Hz  105.5dB  956l +  92l  * 1x100mm  2422mm
 17.2Hz  35Hz   69Hz  107.1dB  634l +  92l  * 1x100mm  2158mm
 18.8Hz  37Hz   71Hz  108.7dB  461l +  92l  * 1x100mm  1923mm
 20.6Hz  39Hz   73Hz  110.3dB  352l +  92l  * 1x100mm  1715mm
 22.5Hz  41Hz   75Hz  111.8dB  279l +  92l  * 1x100mm  1528mm
 24.6Hz  43Hz   77Hz  113.3dB  226l +  92l  * 1x100mm  1362mm
 26.8Hz  46Hz   79Hz  114.9dB  186l +  92l  * 1x100mm  1214mm
 29.2Hz  49Hz   81Hz  116.3dB  156l +  92l  * 1x100mm  1082mm
 31.8Hz  52Hz   84Hz  117.8dB  131l +  92l  * 1x100mm   964mm
 34.5Hz  55Hz   87Hz  119.2dB  112l +  92l  * 1x100mm   859mm
 37.5Hz  58Hz   90Hz  120.7dB   96l +  92l  * 1x100mm   766mm
 40.6Hz  61Hz   93Hz  122.1dB   83l +  92l  * 1x100mm   683mm
 44.0Hz  63Hz   96Hz  123.4dB   76l +  92l  * 1x100mm   639mm
 47.6Hz  69Hz  100Hz  124.8dB   62l +  92l  * 1x100mm   542mm
 51.4Hz  73Hz  104Hz  126.1dB   54l +  92l  * 1x100mm   483mm
 55.5Hz  77Hz  108Hz  127.5dB   47l +  92l  * 1x100mm   431mm
 59.9Hz  82Hz  112Hz  128.8dB   41l +  92l  - 2x100mm   763mm
 15.7Hz  38Hz   68Hz  105.5dB  382l +  67l  * 1x100mm  2422mm
 17.2Hz  40Hz   69Hz  107.1dB  300l +  67l  * 1x100mm  2158mm
 18.8Hz  43Hz   71Hz  108.7dB  241l +  67l  * 1x100mm  1923mm
 20.6Hz  45Hz   73Hz  110.3dB  198l +  67l  * 1x100mm  1715mm
 22.5Hz  48Hz   75Hz  111.8dB  165l +  67l  * 1x100mm  1528mm
 24.6Hz  51Hz   77Hz  113.3dB  139l +  67l  * 1x100mm  1362mm
 26.8Hz  54Hz   79Hz  114.9dB  118l +  67l  * 1x100mm  1214mm
 29.2Hz  57Hz   81Hz  116.3dB  101l +  67l  * 1x100mm  1082mm
 31.8Hz  60Hz   84Hz  117.8dB   87l +  67l  * 1x100mm   964mm
 34.5Hz  64Hz   87Hz  119.2dB   75l +  67l  * 1x100mm   859mm
 37.5Hz  68Hz   90Hz  120.7dB   65l +  67l  * 1x100mm   766mm
 40.6Hz  61Hz   93Hz  122.1dB   83l +  67l  * 1x100mm   929mm
 44.0Hz  63Hz   96Hz  123.4dB   76l +  67l  * 1x100mm   870mm
 47.6Hz  69Hz  100Hz  124.8dB   62l +  67l  * 1x100mm   738mm
 44.2Hz  73Hz  104Hz  123.5dB   54l +  67l  * 1x100mm   658mm
 48.3Hz  77Hz  108Hz  125.0dB   47l +  67l  * 1x100mm   586mm
 59.9Hz  82Hz  112Hz  128.8dB   41l +  67l  * 1x100mm   522mm
 18.8Hz  46Hz  111Hz  108.7dB  192l +  47l  * 1x100mm  2421mm
 20.7Hz  48Hz  113Hz  110.4dB  160l +  47l  * 1x100mm  2159mm
 22.8Hz  51Hz  115Hz  112.0dB  135l +  47l  * 1x100mm  1924mm
 25.1Hz  54Hz  117Hz  113.7dB  115l +  47l  * 1x100mm  1714mm
 27.6Hz  57Hz  120Hz  115.3dB   98l +  47l  * 1x100mm  1528mm
 30.3Hz  61Hz  122Hz  117.0dB   84l +  47l  * 1x100mm  1362mm
 33.2Hz  64Hz  125Hz  118.5dB   73l +  47l  * 1x100mm  1214mm
 36.3Hz  68Hz  128Hz  120.1dB   63l +  47l  * 1x100mm  1082mm
 39.7Hz  72Hz  132Hz  121.7dB   55l +  47l  * 1x100mm   964mm
 43.4Hz  77Hz  135Hz  123.2dB   48l +  47l  * 1x100mm   859mm
 47.3Hz  81Hz  139Hz  124.7dB   42l +  47l  * 1x100mm   766mm
 51.5Hz  86Hz  143Hz  126.2dB   37l +  47l  * 1x100mm   683mm
 56.0Hz  91Hz  148Hz  127.6dB   33l +  47l  * 1x100mm   608mm
 60.9Hz  96Hz  153Hz  129.1dB   29l +  47l  * 1x100mm   542mm
 66.0Hz 102Hz  158Hz  130.5dB   25l +  47l  * 1x100mm   483mm
 71.6Hz 108Hz  164Hz  131.9dB   22l +  47l  * 1x100mm   431mm
 77.5Hz 115Hz  169Hz  133.3dB   20l +  47l  - 2x100mm   763mm
-------------
V8202
            94.5dB           150W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 24.3Hz  51Hz  105Hz   89.2dB  -32l +  11l  * 1x40mm   1360mm
 26.7Hz  54Hz  108Hz   90.8dB  -38l +  11l  * 1x40mm   1212mm
 29.2Hz  57Hz  110Hz   92.4dB  -47l +  11l  * 1x40mm   1080mm
 32.0Hz  60Hz  113Hz   93.9dB  -64l +  11l  * 1x40mm    963mm
 35.0Hz  64Hz  116Hz   95.5dB -106l +  11l  * 1x40mm    858mm
 38.2Hz  67Hz  119Hz   97.0dB -433l +  11l  * 1x40mm    765mm
 41.6Hz  71Hz  122Hz   98.5dB  177l +  11l  * 1x40mm    681mm
 45.4Hz  76Hz  126Hz  100.0dB   69l +  11l  * 1x40mm    607mm
 49.3Hz  80Hz  130Hz  101.5dB   41l +  11l  * 1x40mm    541mm
 53.6Hz  85Hz  134Hz  102.9dB   28l +  11l  - 1x50mm    754mm
 58.2Hz  90Hz  139Hz  104.3dB   21l +  11l  - 1x50mm    672mm
 63.0Hz  95Hz  144Hz  105.7dB   16l +  11l  - 1x50mm    599mm
