-------------
BM 17/8
            89.0dB            90W       1x70mm
   fu     fc      fo      SplMech  Vb1     Vb2       d         l        C
 23.7 Hz  54 Hz  123 Hz   87.4 dB   oo l +   8 l    1x70mm    415 mm   934 µF
 24.0 Hz  55 Hz  124 Hz   87.6 dB  918 l +   8 l    1x70mm    406 mm   916 µF
 25.0 Hz  56 Hz  125 Hz   88.3 dB  229 l +   8 l    1x70mm    381 mm   868 µF
 26.0 Hz  57 Hz  127 Hz   89.0 dB  130 l +   8 l    1x70mm    359 mm   824 µF
 27.0 Hz  59 Hz  129 Hz   89.7 dB   91 l +   8 l    1x70mm    339 mm   783 µF
 28.0 Hz  60 Hz  130 Hz   90.3 dB   69 l +   8 l    1x70mm    320 mm   746 µF
 29.0 Hz  62 Hz  132 Hz   90.9 dB   56 l +   8 l    1x70mm    303 mm   712 µF
 30.0 Hz  63 Hz  133 Hz   91.5 dB   47 l +   8 l    1x70mm    287 mm   680 µF

