-------------
da175-8
            86.0dB            50W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 19.0Hz  43Hz   72Hz   87.7dB   45l +  12l  * 1x40mm   1626mm
 20.8Hz  46Hz   73Hz   89.2dB   37l +  12l  * 1x40mm   1449mm
 22.8Hz  48Hz   75Hz   90.8dB   31l +  12l  * 1x40mm   1292mm
 24.9Hz  51Hz   78Hz   92.3dB   26l +  12l  * 1x40mm   1151mm
 27.1Hz  54Hz   80Hz   93.8dB   22l +  12l  * 1x40mm   1026mm
 29.5Hz  57Hz   82Hz   95.3dB   19l +  12l  * 1x40mm    915mm
 32.1Hz  61Hz   85Hz   96.7dB   16l +  12l  * 1x40mm    815mm
 34.9Hz  64Hz   88Hz   98.2dB   14l +  12l  * 1x40mm    726mm
 37.9Hz  68Hz   91Hz   99.6dB   12l +  12l  * 1x40mm    647mm
 41.1Hz  62Hz   94Hz  101.0dB   15l +  12l  * 1x40mm    785mm
 44.5Hz  64Hz   97Hz  102.4dB   14l +  12l  * 1x40mm    736mm
 48.1Hz  70Hz  101Hz  103.7dB   12l +  12l  * 1x40mm    624mm
 44.6Hz  74Hz  105Hz  102.5dB   10l +  12l  * 1x40mm    556mm
 48.8Hz  78Hz  109Hz  104.0dB    9l +  12l  - 1x50mm    774mm
 60.5Hz  83Hz  113Hz  107.7dB    8l +  12l  - 1x50mm    690mm
 19.0Hz  46Hz  112Hz   87.6dB   36l +   9l  * 1x40mm   2047mm
 20.9Hz  49Hz  114Hz   89.3dB   30l +   9l  * 1x40mm   1825mm
 23.1Hz  52Hz  116Hz   91.0dB   25l +   9l  * 1x40mm   1626mm
 25.4Hz  55Hz  118Hz   92.7dB   21l +   9l  * 1x40mm   1449mm
 27.9Hz  58Hz  121Hz   94.3dB   18l +   9l  * 1x40mm   1292mm
 30.6Hz  61Hz  123Hz   95.9dB   16l +   9l  * 1x40mm   1151mm
 33.5Hz  65Hz  126Hz   97.5dB   14l +   9l  * 1x40mm   1026mm
 36.7Hz  69Hz  130Hz   99.1dB   12l +   9l  * 1x40mm    914mm
 40.1Hz  73Hz  133Hz  100.6dB   10l +   9l  * 1x40mm    815mm
 43.8Hz  77Hz  137Hz  102.1dB    9l +   9l  * 1x40mm    726mm
 47.8Hz  82Hz  141Hz  103.6dB    8l +   9l  * 1x40mm    647mm
 52.0Hz  87Hz  145Hz  105.1dB    7l +   9l  * 1x40mm    577mm
 56.6Hz  92Hz  149Hz  106.6dB    6l +   9l  * 1x40mm    514mm
 61.5Hz  97Hz  154Hz  108.0dB    5l +   9l  - 1x50mm    716mm
 66.7Hz 103Hz  160Hz  109.4dB    5l +   9l  - 1x50mm    638mm
 72.3Hz 109Hz  165Hz  110.8dB    4l +   9l  - 1x50mm    569mm
 78.3Hz 116Hz  171Hz  112.2dB    4l +   9l  - 1x50mm    507mm
-------------
dc300-8
            92.0dB            80W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.1Hz  34Hz   70Hz   92.5dB  324l +  39l  * 1x70mm   2642mm
 17.7Hz  35Hz   71Hz   94.1dB  230l +  39l  * 1x70mm   2355mm
 19.4Hz  38Hz   73Hz   95.7dB  174l +  39l  * 1x70mm   2099mm
 21.2Hz  40Hz   75Hz   97.3dB  137l +  39l  * 1x70mm   1871mm
 23.2Hz  42Hz   77Hz   98.8dB  110l +  39l  * 1x70mm   1667mm
 25.3Hz  45Hz   79Hz  100.3dB   90l +  39l  * 1x70mm   1486mm
 27.6Hz  47Hz   81Hz  101.8dB   75l +  39l  * 1x70mm   1324mm
 30.1Hz  50Hz   84Hz  103.3dB   63l +  39l  * 1x70mm   1180mm
 32.7Hz  53Hz   86Hz  104.8dB   54l +  39l  * 1x70mm   1052mm
 35.5Hz  56Hz   89Hz  106.2dB   46l +  39l  * 1x70mm    938mm
 38.5Hz  60Hz   92Hz  107.6dB   40l +  39l  * 1x70mm    836mm
 41.8Hz  63Hz   95Hz  109.0dB   34l +  39l  * 1x70mm    745mm
 45.2Hz  65Hz   99Hz  110.4dB   32l +  39l  * 1x70mm    697mm
 48.9Hz  71Hz  103Hz  111.8dB   26l +  39l  * 1x70mm    592mm
 52.9Hz  75Hz  106Hz  113.1dB   23l +  39l  * 1x70mm    527mm
 57.1Hz  79Hz  111Hz  114.5dB   20l +  39l  * 1x70mm    470mm
 61.5Hz  84Hz  115Hz  115.8dB   17l +  39l  * 1x70mm    419mm
 16.1Hz  39Hz   70Hz   92.5dB  147l +  29l  * 1x70mm   2642mm
 17.7Hz  41Hz   71Hz   94.1dB  118l +  29l  * 1x70mm   2354mm
 19.4Hz  44Hz   73Hz   95.7dB   96l +  29l  * 1x70mm   2098mm
 21.2Hz  46Hz   75Hz   97.3dB   80l +  29l  * 1x70mm   1871mm
 23.2Hz  49Hz   77Hz   98.8dB   67l +  29l  * 1x70mm   1667mm
 25.3Hz  52Hz   79Hz  100.3dB   57l +  29l  * 1x70mm   1486mm
 27.6Hz  55Hz   81Hz  101.8dB   48l +  29l  * 1x70mm   1324mm
 30.1Hz  58Hz   84Hz  103.3dB   42l +  29l  * 1x70mm   1180mm
 32.7Hz  62Hz   86Hz  104.8dB   36l +  29l  * 1x70mm   1052mm
 35.5Hz  66Hz   89Hz  106.2dB   31l +  29l  * 1x70mm    938mm
 38.5Hz  70Hz   92Hz  107.6dB   27l +  29l  * 1x70mm    836mm
 41.8Hz  63Hz   95Hz  109.0dB   34l +  29l  * 1x70mm   1014mm
 45.2Hz  65Hz   99Hz  110.4dB   32l +  29l  * 1x70mm    949mm
 48.9Hz  71Hz  103Hz  111.8dB   26l +  29l  * 1x70mm    805mm
 45.4Hz  75Hz  106Hz  110.5dB   23l +  29l  * 1x70mm    717mm
 49.6Hz  79Hz  111Hz  112.0dB   20l +  29l  * 1x70mm    640mm
 61.5Hz  84Hz  115Hz  115.8dB   17l +  29l  * 1x70mm    570mm
 19.3Hz  47Hz  114Hz   95.7dB   77l +  20l  * 1x70mm   2642mm
 21.3Hz  50Hz  116Hz   97.4dB   65l +  20l  * 1x70mm   2355mm
 23.5Hz  53Hz  118Hz   99.0dB   55l +  20l  * 1x70mm   2099mm
 25.8Hz  56Hz  120Hz  100.7dB   47l +  20l  * 1x70mm   1870mm
 28.4Hz  59Hz  123Hz  102.3dB   41l +  20l  * 1x70mm   1667mm
 31.1Hz  63Hz  126Hz  103.9dB   35l +  20l  * 1x70mm   1486mm
 34.1Hz  66Hz  129Hz  105.5dB   30l +  20l  * 1x70mm   1324mm
 37.4Hz  70Hz  132Hz  107.1dB   26l +  20l  * 1x70mm   1180mm
 40.8Hz  74Hz  135Hz  108.7dB   23l +  20l  * 1x70mm   1052mm
 44.6Hz  79Hz  139Hz  110.2dB   20l +  20l  * 1x70mm    937mm
 48.6Hz  83Hz  143Hz  111.7dB   18l +  20l  * 1x70mm    836mm
 53.0Hz  88Hz  147Hz  113.2dB   16l +  20l  * 1x70mm    745mm
 57.6Hz  94Hz  152Hz  114.6dB   14l +  20l  * 1x70mm    664mm
 62.6Hz  99Hz  157Hz  116.1dB   12l +  20l  * 1x70mm    592mm
 67.9Hz 105Hz  162Hz  117.5dB   11l +  20l  * 1x70mm    527mm
 73.6Hz 111Hz  168Hz  118.9dB    9l +  20l  * 1x70mm    470mm
 79.7Hz 118Hz  174Hz  120.3dB    8l +  20l  * 1x70mm    419mm
-------------
dc380-4
            92.0dB           250W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
  9.2Hz  19Hz   40Hz   92.7dB -3398l + 117l  * 1x70mm   2685mm
 10.1Hz  20Hz   41Hz   94.4dB 8224l + 117l  * 1x70mm   2393mm
 11.1Hz  22Hz   42Hz   95.9dB 1699l + 117l  * 1x70mm   2133mm
 12.1Hz  23Hz   43Hz   97.5dB  900l + 117l  * 1x70mm   1901mm
 13.3Hz  24Hz   44Hz   99.1dB  588l + 117l  * 1x70mm   1694mm
 14.5Hz  26Hz   45Hz  100.6dB  424l + 117l  * 1x70mm   1510mm
 15.8Hz  27Hz   46Hz  102.1dB  323l + 117l  * 1x70mm   1346mm
 17.2Hz  29Hz   48Hz  103.6dB  255l + 117l  * 1x70mm   1200mm
 18.7Hz  30Hz   49Hz  105.0dB  206l + 117l  * 1x70mm   1069mm
 20.3Hz  32Hz   51Hz  106.5dB  169l + 117l  * 1x70mm    953mm
 22.1Hz  34Hz   53Hz  107.9dB  141l + 117l  * 1x70mm    849mm
 23.9Hz  36Hz   55Hz  109.3dB  119l + 117l  * 1x70mm    757mm
