-------------
10lms4000svc
            81.1dB           800W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 10.3Hz  21Hz   32Hz  101.3dB  183l +  60l  * 1x50mm   2191mm
 11.2Hz  22Hz   33Hz  102.8dB  145l +  60l  * 1x50mm   1953mm
 12.2Hz  24Hz   34Hz  104.2dB  117l +  60l  * 1x50mm   1741mm
 13.3Hz  25Hz   35Hz  105.7dB   97l +  60l  * 1x50mm   1552mm
 14.5Hz  27Hz   36Hz  107.1dB   81l +  60l  * 1x50mm   1383mm
 15.7Hz  28Hz   38Hz  108.6dB   68l +  60l  * 1x50mm   1233mm
 17.0Hz  26Hz   39Hz  110.0dB   91l +  60l  * 1x50mm   1495mm
 18.4Hz  27Hz   40Hz  111.3dB   82l +  60l  * 1x50mm   1400mm
 19.9Hz  29Hz   42Hz  112.7dB   65l +  60l  * 1x50mm   1188mm
 18.5Hz  31Hz   43Hz  111.4dB   55l +  60l  * 1x50mm   1058mm
 20.2Hz  32Hz   45Hz  113.0dB   47l +  60l  * 1x50mm    943mm
 25.1Hz  34Hz   47Hz  116.7dB   41l +  60l  * 1x50mm    841mm
  7.9Hz  19Hz   46Hz   96.6dB  312l +  41l  * 1x50mm   3897mm
  8.7Hz  20Hz   47Hz   98.3dB  229l +  41l  * 1x50mm   3474mm
  9.6Hz  21Hz   48Hz  100.0dB  176l +  41l  * 1x50mm   3096mm
 10.5Hz  23Hz   49Hz  101.6dB  139l +  41l  * 1x50mm   2759mm
 11.6Hz  24Hz   50Hz  103.2dB  113l +  41l  * 1x50mm   2459mm
 12.7Hz  25Hz   51Hz  104.9dB   94l +  41l  * 1x50mm   2192mm
 13.9Hz  27Hz   52Hz  106.5dB   78l +  41l  * 1x50mm   1953mm
 15.2Hz  29Hz   54Hz  108.0dB   66l +  41l  * 1x50mm   1741mm
 16.6Hz  30Hz   55Hz  109.6dB   56l +  41l  * 1x50mm   1552mm
 18.2Hz  32Hz   57Hz  111.1dB   48l +  41l  * 1x50mm   1383mm
 19.8Hz  34Hz   58Hz  112.6dB   42l +  41l  * 1x50mm   1233mm
 21.6Hz  36Hz   60Hz  114.1dB   36l +  41l  * 1x50mm   1098mm
 23.5Hz  38Hz   62Hz  115.5dB   31l +  41l  * 1x50mm    979mm
 25.5Hz  40Hz   64Hz  117.0dB   27l +  41l  * 1x50mm    873mm
 27.7Hz  43Hz   66Hz  118.4dB   24l +  41l  * 1x50mm    778mm
 30.0Hz  45Hz   68Hz  119.8dB   21l +  41l  * 1x50mm    693mm
 32.5Hz  48Hz   71Hz  121.2dB   18l +  41l  * 1x50mm    618mm
-------------
15lms4000svc
            85.6dB           800W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
  7.5Hz  14Hz   27Hz  100.6dB 21093l + 233l  * 1x70mm   2483mm
  8.2Hz  15Hz   27Hz  102.1dB 2916l + 233l  * 1x70mm   2212mm
  9.0Hz  16Hz   28Hz  103.7dB 1484l + 233l  * 1x70mm   1972mm
  9.8Hz  17Hz   29Hz  105.2dB  957l + 233l  * 1x70mm   1757mm
 10.7Hz  18Hz   30Hz  106.6dB  684l + 233l  * 1x70mm   1566mm
 11.6Hz  19Hz   31Hz  108.1dB  518l + 233l  * 1x70mm   1396mm
 12.6Hz  20Hz   32Hz  109.5dB  408l + 233l  * 1x70mm   1244mm
 13.7Hz  21Hz   33Hz  111.0dB  329l + 233l  * 1x70mm   1109mm
 14.8Hz  22Hz   34Hz  112.4dB  270l + 233l  * 1x70mm    988mm
 16.1Hz  23Hz   35Hz  113.7dB  243l + 233l  * 1x70mm    926mm
 17.4Hz  25Hz   36Hz  115.1dB  190l + 233l  * 1x70mm    785mm
 18.8Hz  27Hz   38Hz  116.5dB  161l + 233l  * 1x70mm    700mm
 20.3Hz  28Hz   39Hz  117.8dB  138l + 233l  * 1x70mm    624mm
 21.9Hz  30Hz   41Hz  119.1dB  119l + 233l  * 1x70mm    556mm
  6.3Hz  15Hz   25Hz   97.4dB 4091l + 171l  * 1x70mm   3124mm
  6.9Hz  16Hz   26Hz   99.0dB 1775l + 171l  * 1x70mm   2785mm
  7.5Hz  16Hz   27Hz  100.6dB 1086l + 171l  * 1x70mm   2482mm
  8.2Hz  17Hz   27Hz  102.1dB  757l + 171l  * 1x70mm   2213mm
  9.0Hz  19Hz   28Hz  103.7dB  564l + 171l  * 1x70mm   1971mm
  9.8Hz  20Hz   29Hz  105.2dB  439l + 171l  * 1x70mm   1757mm
 10.7Hz  21Hz   30Hz  106.6dB  351l + 171l  * 1x70mm   1566mm
 11.6Hz  22Hz   31Hz  108.1dB  287l + 171l  * 1x70mm   1396mm
 12.6Hz  23Hz   32Hz  109.5dB  238l + 171l  * 1x70mm   1244mm
 13.7Hz  25Hz   33Hz  111.0dB  200l + 171l  * 1x70mm   1109mm
 14.8Hz  22Hz   34Hz  112.4dB  270l + 171l  * 1x70mm   1345mm
 16.1Hz  23Hz   35Hz  113.7dB  243l + 171l  * 1x70mm   1260mm
 17.4Hz  25Hz   36Hz  115.1dB  190l + 171l  * 1x70mm   1068mm
 16.1Hz  27Hz   38Hz  113.8dB  161l + 171l  * 1x70mm    952mm
 17.6Hz  28Hz   39Hz  115.4dB  138l + 171l  * 1x70mm    849mm
 21.9Hz  30Hz   41Hz  119.1dB  119l + 171l  * 1x70mm    756mm
  6.9Hz  17Hz   40Hz   99.0dB 1015l + 119l  * 1x70mm   3506mm
  7.6Hz  18Hz   41Hz  100.7dB  718l + 119l  * 1x70mm   3125mm
  8.3Hz  19Hz   42Hz  102.4dB  540l + 119l  * 1x70mm   2785mm
  9.2Hz  20Hz   43Hz  104.0dB  422l + 119l  * 1x70mm   2482mm
 10.1Hz  21Hz   44Hz  105.6dB  339l + 119l  * 1x70mm   2212mm
 11.1Hz  22Hz   45Hz  107.3dB  278l + 119l  * 1x70mm   1972mm
 12.1Hz  24Hz   46Hz  108.9dB  231l + 119l  * 1x70mm   1757mm
 13.3Hz  25Hz   47Hz  110.4dB  195l + 119l  * 1x70mm   1566mm
 14.5Hz  26Hz   48Hz  112.0dB  165l + 119l  * 1x70mm   1396mm
 15.8Hz  28Hz   49Hz  113.5dB  141l + 119l  * 1x70mm   1244mm
 17.3Hz  30Hz   51Hz  115.0dB  121l + 119l  * 1x70mm   1109mm
 18.8Hz  31Hz   52Hz  116.5dB  105l + 119l  * 1x70mm    988mm
 20.5Hz  33Hz   54Hz  117.9dB   91l + 119l  * 1x70mm    881mm
 22.2Hz  35Hz   56Hz  119.4dB   79l + 119l  * 1x70mm    785mm
 24.1Hz  37Hz   58Hz  120.8dB   69l + 119l  * 1x70mm    700mm
 26.1Hz  39Hz   60Hz  122.2dB   61l + 119l  * 1x70mm    624mm
 28.3Hz  42Hz   62Hz  123.6dB   53l + 119l  * 1x70mm    556mm
