-------------
raptor12
            87.0dB          1000W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.9Hz  31Hz   52Hz  103.9dB -160l +  43l  * 1x70mm   2704mm
 15.2Hz  33Hz   54Hz  105.4dB -206l +  43l  * 1x70mm   2411mm
 16.6Hz  35Hz   55Hz  107.0dB -306l +  43l  * 1x70mm   2149mm
 18.1Hz  37Hz   57Hz  108.5dB -672l +  43l  * 1x70mm   1914mm
 19.8Hz  40Hz   58Hz  110.0dB 1970l +  43l  * 1x70mm   1706mm
 21.5Hz  42Hz   60Hz  111.5dB  364l +  43l  * 1x70mm   1521mm
 23.4Hz  44Hz   62Hz  112.9dB  190l +  43l  * 1x70mm   1356mm
 25.4Hz  47Hz   64Hz  114.4dB  124l +  43l  * 1x70mm   1208mm
 27.6Hz  50Hz   66Hz  115.8dB   89l +  43l  * 1x70mm   1077mm
 29.9Hz  45Hz   68Hz  117.2dB  163l +  43l  * 1x70mm   1306mm
 32.4Hz  47Hz   71Hz  118.6dB  129l +  43l  * 1x70mm   1223mm
 35.0Hz  51Hz   73Hz  119.9dB   81l +  43l  * 1x70mm   1038mm
 32.5Hz  54Hz   76Hz  118.7dB   62l +  43l  * 1x70mm    925mm
 35.5Hz  57Hz   79Hz  120.2dB   50l +  43l  * 1x70mm    824mm
 44.1Hz  60Hz   82Hz  123.9dB   40l +  43l  * 1x70mm    734mm
 13.8Hz  34Hz   82Hz  103.8dB -217l +  30l  * 1x70mm   3404mm
 15.3Hz  36Hz   83Hz  105.5dB -335l +  30l  * 1x70mm   3035mm
 16.8Hz  38Hz   85Hz  107.2dB -852l +  30l  * 1x70mm   2705mm
 18.5Hz  40Hz   86Hz  108.8dB 1156l +  30l  * 1x70mm   2410mm
 20.3Hz  42Hz   88Hz  110.5dB  318l +  30l  * 1x70mm   2148mm
 22.3Hz  45Hz   90Hz  112.1dB  175l +  30l  * 1x70mm   1915mm
 24.4Hz  47Hz   92Hz  113.7dB  116l +  30l  * 1x70mm   1706mm
 26.8Hz  50Hz   94Hz  115.3dB   85l +  30l  * 1x70mm   1521mm
 29.3Hz  53Hz   97Hz  116.8dB   65l +  30l  * 1x70mm   1355mm
 31.9Hz  56Hz  100Hz  118.3dB   51l +  30l  * 1x70mm   1208mm
 34.8Hz  60Hz  103Hz  119.8dB   42l +  30l  * 1x70mm   1077mm
 37.9Hz  63Hz  106Hz  121.3dB   34l +  30l  * 1x70mm    960mm
 41.3Hz  67Hz  109Hz  122.8dB   29l +  30l  * 1x70mm    855mm
 44.8Hz  71Hz  113Hz  124.2dB   24l +  30l  * 1x70mm    762mm
 48.6Hz  75Hz  116Hz  125.6dB   21l +  30l  * 1x70mm    679mm
 52.7Hz  80Hz  120Hz  127.0dB   18l +  30l  * 1x70mm    605mm
 57.1Hz  84Hz  125Hz  128.4dB   15l +  30l  * 1x70mm    540mm
-------------
silver10
            88.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 20.6Hz  43Hz   89Hz   93.8dB   29l +   7l  * 1x50mm   4377mm
 22.6Hz  45Hz   91Hz   95.5dB   25l +   7l  * 1x50mm   3901mm
 24.7Hz  48Hz   93Hz   97.0dB   21l +   7l  * 1x50mm   3477mm
 27.1Hz  51Hz   96Hz   98.6dB   18l +   7l  * 1x50mm   3100mm
 29.6Hz  54Hz   98Hz  100.2dB   15l +   7l  * 1x50mm   2762mm
 32.3Hz  57Hz  101Hz  101.7dB   13l +   7l  * 1x50mm   2462mm
 35.3Hz  60Hz  104Hz  103.2dB   11l +   7l  * 1x50mm   2194mm
 38.4Hz  64Hz  107Hz  104.7dB   10l +   7l  * 1x50mm   1956mm
 41.8Hz  68Hz  110Hz  106.1dB    9l +   7l  * 1x50mm   1743mm
 45.4Hz  72Hz  114Hz  107.6dB    8l +   7l  * 1x50mm   1553mm
 49.2Hz  76Hz  118Hz  109.0dB    7l +   7l  * 1x50mm   1384mm
 53.4Hz  81Hz  122Hz  110.4dB    6l +   7l  * 1x50mm   1234mm
 57.8Hz  83Hz  126Hz  111.8dB    5l +   7l  * 1x50mm   1156mm
 62.5Hz  90Hz  131Hz  113.1dB    5l +   7l  * 1x50mm    980mm
 67.5Hz  96Hz  136Hz  114.5dB    4l +   7l  * 1x50mm    873mm
 72.9Hz 101Hz  141Hz  115.8dB    4l +   7l  * 1x50mm    779mm
 78.6Hz 108Hz  147Hz  117.1dB    3l +   7l  * 1x50mm    694mm
 20.6Hz  50Hz   89Hz   93.8dB   19l +   5l  * 1x50mm   4378mm
 22.6Hz  53Hz   91Hz   95.5dB   16l +   5l  * 1x50mm   3901mm
 24.7Hz  56Hz   93Hz   97.0dB   14l +   5l  * 1x50mm   3477mm
 27.1Hz  59Hz   96Hz   98.6dB   12l +   5l  * 1x50mm   3099mm
 29.6Hz  63Hz   98Hz  100.2dB   10l +   5l  * 1x50mm   2762mm
 32.3Hz  67Hz  101Hz  101.7dB    9l +   5l  * 1x50mm   2461mm
 35.3Hz  71Hz  104Hz  103.2dB    8l +   5l  * 1x50mm   2194mm
 38.4Hz  75Hz  107Hz  104.7dB    7l +   5l  * 1x50mm   1955mm
 41.8Hz  79Hz  110Hz  106.1dB    6l +   5l  * 1x50mm   1743mm
 45.4Hz  84Hz  114Hz  107.6dB    5l +   5l  * 1x50mm   1553mm
 49.2Hz  89Hz  118Hz  109.0dB    5l +   5l  * 1x50mm   1384mm
 53.4Hz  81Hz  122Hz  110.4dB    6l +   5l  * 1x50mm   1679mm
 57.8Hz  83Hz  126Hz  111.8dB    5l +   5l  * 1x50mm   1573mm
 62.5Hz  90Hz  131Hz  113.1dB    5l +   5l  * 1x50mm   1334mm
 58.0Hz  96Hz  136Hz  111.8dB    4l +   5l  * 1x50mm   1189mm
 63.4Hz 101Hz  141Hz  113.4dB    4l +   5l  * 1x50mm   1060mm
 78.6Hz 108Hz  147Hz  117.1dB    3l +   5l  * 1x50mm    944mm
 24.7Hz  60Hz  145Hz   97.0dB   12l +   4l  * 1x50mm   4377mm
 27.2Hz  63Hz  148Hz   98.7dB   10l +   4l  * 1x50mm   3902mm
 30.0Hz  67Hz  151Hz  100.4dB    9l +   4l  * 1x50mm   3478mm
 33.0Hz  71Hz  154Hz  102.0dB    8l +   4l  * 1x50mm   3099mm
 36.2Hz  75Hz  157Hz  103.7dB    7l +   4l  * 1x50mm   2762mm
 39.8Hz  80Hz  160Hz  105.3dB    6l +   4l  * 1x50mm   2462mm
 43.6Hz  85Hz  164Hz  106.9dB    5l +   4l  * 1x50mm   2194mm
 47.7Hz  90Hz  168Hz  108.5dB    5l +   4l  * 1x50mm   1955mm
 52.2Hz  95Hz  173Hz  110.0dB    4l +   4l  * 1x50mm   1743mm
 57.0Hz 101Hz  178Hz  111.5dB    4l +   4l  * 1x50mm   1553mm
 62.1Hz 107Hz  183Hz  113.0dB    3l +   4l  * 1x50mm   1384mm
 67.6Hz 113Hz  188Hz  114.5dB    3l +   4l  * 1x50mm   1234mm
 73.6Hz 120Hz  194Hz  116.0dB    2l +   4l  * 1x50mm   1100mm
 79.9Hz 127Hz  201Hz  117.4dB    2l +   4l  * 1x50mm    980mm
 86.7Hz 134Hz  207Hz  118.8dB    2l +   4l  * 1x50mm    873mm
 94.0Hz 142Hz  215Hz  120.2dB    2l +   4l  * 1x50mm    778mm
101.8Hz 151Hz  223Hz  121.6dB    2l +   4l  * 1x50mm    694mm
-------------
silver12
            89.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 18.0Hz  38Hz   78Hz   95.4dB  123l +  20l  * 1x50mm   2120mm
 19.8Hz  40Hz   80Hz   97.0dB   94l +  20l  * 1x50mm   1889mm
 21.7Hz  42Hz   82Hz   98.6dB   75l +  20l  * 1x50mm   1684mm
 23.7Hz  45Hz   84Hz  100.2dB   61l +  20l  * 1x50mm   1501mm
 26.0Hz  47Hz   86Hz  101.7dB   50l +  20l  * 1x50mm   1337mm
 28.3Hz  50Hz   88Hz  103.3dB   42l +  20l  * 1x50mm   1192mm
 30.9Hz  53Hz   91Hz  104.8dB   35l +  20l  * 1x50mm   1062mm
 33.7Hz  56Hz   94Hz  106.3dB   30l +  20l  * 1x50mm    947mm
 36.6Hz  59Hz   97Hz  107.7dB   26l +  20l  * 1x50mm    844mm
 39.8Hz  63Hz  100Hz  109.2dB   22l +  20l  * 1x50mm    752mm
 43.2Hz  67Hz  103Hz  110.6dB   19l +  20l  * 1x50mm    670mm
 46.8Hz  71Hz  107Hz  112.0dB   17l +  20l  * 1x50mm    597mm
 50.7Hz  73Hz  111Hz  113.4dB   16l +  20l  * 1x50mm    560mm
 54.8Hz  79Hz  115Hz  114.7dB   13l +  20l  * 1x50mm    475mm
 59.2Hz  84Hz  119Hz  116.1dB   11l +  20l  * 1x50mm    423mm
 63.9Hz  89Hz  124Hz  117.4dB   10l +  20l  - 1x70mm    739mm
 68.9Hz  94Hz  129Hz  118.7dB    9l +  20l  - 1x70mm    658mm
 18.0Hz  44Hz   78Hz   95.4dB   65l +  15l  * 1x50mm   2120mm
 19.8Hz  46Hz   80Hz   97.0dB   53l +  15l  * 1x50mm   1889mm
 21.7Hz  49Hz   82Hz   98.6dB   44l +  15l  * 1x50mm   1683mm
 23.7Hz  52Hz   84Hz  100.2dB   37l +  15l  * 1x50mm   1501mm
 26.0Hz  55Hz   86Hz  101.7dB   32l +  15l  * 1x50mm   1338mm
 28.3Hz  58Hz   88Hz  103.3dB   27l +  15l  * 1x50mm   1192mm
 30.9Hz  62Hz   91Hz  104.8dB   23l +  15l  * 1x50mm   1062mm
 33.7Hz  65Hz   94Hz  106.3dB   20l +  15l  * 1x50mm    947mm
 36.6Hz  69Hz   97Hz  107.7dB   18l +  15l  * 1x50mm    844mm
