-------------
8NMB420
            88.0dB           200W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 59.2Hz  92Hz  142Hz  132.3dB   40l +  45l  * 2x100mm  1233mm
 64.2Hz  97Hz  147Hz  133.7dB   35l +  45l  * 2x100mm  1099mm
 69.5Hz 100Hz  152Hz  135.0dB   33l +  45l  * 2x100mm  1029mm
 75.2Hz 109Hz  158Hz  136.4dB   27l +  45l  * 2x100mm   873mm
 81.2Hz 115Hz  164Hz  137.7dB   24l +  45l  * 2x100mm   778mm
 24.8Hz  60Hz  107Hz  117.1dB  107l +  33l  * 2x100mm  3898mm
 27.2Hz  64Hz  110Hz  118.7dB   92l +  33l  * 2x100mm  3474mm
 29.8Hz  67Hz  112Hz  120.3dB   80l +  33l  * 2x100mm  3096mm
 32.6Hz  71Hz  115Hz  121.9dB   70l +  33l  * 2x100mm  2760mm
 35.6Hz  76Hz  118Hz  123.4dB   61l +  33l  * 2x100mm  2460mm
 38.9Hz  80Hz  121Hz  124.9dB   54l +  33l  * 2x100mm  2192mm
 42.4Hz  85Hz  125Hz  126.5dB   47l +  33l  * 2x100mm  1954mm
 46.2Hz  90Hz  129Hz  127.9dB   41l +  33l  * 2x100mm  1741mm
 50.2Hz  95Hz  133Hz  129.4dB   36l +  33l  * 2x100mm  1552mm
 54.6Hz 101Hz  137Hz  130.8dB   32l +  33l  * 2x100mm  1383mm
 59.2Hz 107Hz  142Hz  132.3dB   28l +  33l  * 2x100mm  1233mm
 64.2Hz  97Hz  147Hz  133.7dB   35l +  33l  * 2x100mm  1496mm
 69.5Hz 100Hz  152Hz  135.0dB   33l +  33l  * 2x100mm  1401mm
 75.2Hz 109Hz  158Hz  136.4dB   27l +  33l  * 2x100mm  1188mm
 69.8Hz 115Hz  164Hz  135.1dB   24l +  33l  * 2x100mm  1059mm
 76.3Hz 122Hz  170Hz  136.6dB   21l +  33l  * 2x100mm   944mm
 29.7Hz  72Hz  175Hz  120.3dB   68l +  23l  * 2x100mm  3898mm
 32.8Hz  76Hz  178Hz  122.0dB   60l +  23l  * 2x100mm  3475mm
 36.1Hz  81Hz  181Hz  123.6dB   52l +  23l  * 2x100mm  3097mm
 39.7Hz  86Hz  185Hz  125.3dB   46l +  23l  * 2x100mm  2760mm
 43.6Hz  91Hz  189Hz  126.9dB   41l +  23l  * 2x100mm  2460mm
 47.9Hz  96Hz  193Hz  128.6dB   36l +  23l  * 2x100mm  2192mm
 52.5Hz 102Hz  198Hz  130.1dB   31l +  23l  * 2x100mm  1954mm
 57.4Hz 108Hz  203Hz  131.7dB   28l +  23l  * 2x100mm  1741mm
 62.8Hz 114Hz  208Hz  133.3dB   25l +  23l  * 2x100mm  1552mm
 68.5Hz 121Hz  214Hz  134.8dB   22l +  23l  * 2x100mm  1383mm
 74.7Hz 128Hz  220Hz  136.3dB   19l +  23l  * 2x100mm  1233mm
 81.4Hz 136Hz  227Hz  137.8dB   17l +  23l  * 2x100mm  1099mm
-------------
18TLW3000
            95.0dB          1800W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.9Hz  35Hz   73Hz  109.8dB 1422l +  65l  * 1x100mm  2938mm
 18.5Hz  37Hz   75Hz  111.4dB  690l +  65l  * 1x100mm  2618mm
 20.3Hz  39Hz   76Hz  113.0dB  438l +  65l  * 1x100mm  2333mm
 22.2Hz  42Hz   78Hz  114.6dB  310l +  65l  * 1x100mm  2080mm
 24.3Hz  44Hz   80Hz  116.1dB  234l +  65l  * 1x100mm  1853mm
 26.5Hz  47Hz   83Hz  117.7dB  183l +  65l  * 1x100mm  1652mm
 28.9Hz  50Hz   85Hz  119.2dB  147l +  65l  * 1x100mm  1472mm
 31.5Hz  52Hz   88Hz  120.6dB  121l +  65l  * 1x100mm  1312mm
 34.2Hz  56Hz   90Hz  122.1dB  101l +  65l  * 1x100mm  1169mm
 37.2Hz  59Hz   93Hz  123.5dB   85l +  65l  * 1x100mm  1042mm
 40.4Hz  62Hz   96Hz  125.0dB   72l +  65l  * 1x100mm   929mm
 43.7Hz  66Hz  100Hz  126.4dB   61l +  65l  * 1x100mm   828mm
 47.4Hz  68Hz  103Hz  127.7dB   56l +  65l  * 1x100mm   775mm
 51.2Hz  74Hz  107Hz  129.1dB   46l +  65l  * 1x100mm   658mm
 55.3Hz  79Hz  111Hz  130.5dB   40l +  65l  * 1x100mm   586mm
 59.7Hz  83Hz  116Hz  131.8dB   35l +  65l  * 1x100mm   522mm
 64.4Hz  88Hz  121Hz  133.1dB   30l +  65l  * 1x100mm   466mm
 16.9Hz  41Hz   73Hz  109.8dB  344l +  48l  * 1x100mm  2938mm
 18.5Hz  43Hz   75Hz  111.4dB  255l +  48l  * 1x100mm  2618mm
 20.3Hz  46Hz   76Hz  113.0dB  198l +  48l  * 1x100mm  2333mm
 22.2Hz  49Hz   78Hz  114.6dB  158l +  48l  * 1x100mm  2080mm
 24.3Hz  52Hz   80Hz  116.1dB  129l +  48l  * 1x100mm  1854mm
 26.5Hz  55Hz   83Hz  117.7dB  107l +  48l  * 1x100mm  1652mm
 28.9Hz  58Hz   85Hz  119.2dB   89l +  48l  * 1x100mm  1472mm
 31.5Hz  61Hz   88Hz  120.6dB   76l +  48l  * 1x100mm  1312mm
 34.2Hz  65Hz   90Hz  122.1dB   65l +  48l  * 1x100mm  1170mm
 37.2Hz  69Hz   93Hz  123.5dB   55l +  48l  * 1x100mm  1042mm
 40.4Hz  73Hz   96Hz  125.0dB   48l +  48l  * 1x100mm   929mm
 43.7Hz  66Hz  100Hz  126.4dB   61l +  48l  * 1x100mm  1127mm
 47.4Hz  68Hz  103Hz  127.7dB   56l +  48l  * 1x100mm  1055mm
 51.2Hz  74Hz  107Hz  129.1dB   46l +  48l  * 1x100mm   895mm
 47.6Hz  79Hz  111Hz  127.8dB   40l +  48l  * 1x100mm   798mm
 52.0Hz  83Hz  116Hz  129.4dB   35l +  48l  * 1x100mm   711mm
 64.4Hz  88Hz  121Hz  133.1dB   30l +  48l  * 1x100mm   634mm
 20.2Hz  49Hz  119Hz  113.0dB  152l +  33l  * 1x100mm  2937mm
 22.3Hz  52Hz  121Hz  114.7dB  125l +  33l  * 1x100mm  2619mm
 24.6Hz  55Hz  124Hz  116.4dB  103l +  33l  * 1x100mm  2334mm
 27.0Hz  58Hz  126Hz  118.0dB   87l +  33l  * 1x100mm  2080mm
 29.7Hz  62Hz  129Hz  119.6dB   74l +  33l  * 1x100mm  1854mm
 32.6Hz  65Hz  132Hz  121.3dB   63l +  33l  * 1x100mm  1652mm
 35.7Hz  69Hz  135Hz  122.9dB   54l +  33l  * 1x100mm  1472mm
 39.1Hz  73Hz  138Hz  124.4dB   47l +  33l  * 1x100mm  1312mm
 42.8Hz  78Hz  142Hz  126.0dB   41l +  33l  * 1x100mm  1170mm
 46.7Hz  82Hz  146Hz  127.5dB   35l +  33l  * 1x100mm  1042mm
 50.9Hz  87Hz  150Hz  129.0dB   31l +  33l  * 1x100mm   929mm
 55.4Hz  93Hz  154Hz  130.5dB   27l +  33l  * 1x100mm   828mm
 60.3Hz  98Hz  159Hz  131.9dB   24l +  33l  * 1x100mm   738mm
 65.5Hz 104Hz  164Hz  133.4dB   21l +  33l  * 1x100mm   658mm
 71.1Hz 110Hz  170Hz  134.8dB   18l +  33l  * 1x100mm   586mm
 77.1Hz 116Hz  176Hz  136.2dB   16l +  33l  * 1x100mm   522mm
 83.4Hz 123Hz  182Hz  137.6dB   14l +  33l  * 1x100mm   466mm
