-------------
W160al
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 47.7Hz 104Hz  168Hz   92.9dB    6l +   2l  + 1x40mm   1847mm
 52.1Hz 111Hz  173Hz   94.5dB    5l +   2l  + 1x40mm   1646mm
 56.9Hz 117Hz  177Hz   96.0dB    4l +   2l  + 1x40mm   1467mm
 62.1Hz 124Hz  183Hz   97.5dB    3l +   2l  + 1x40mm   1308mm
 67.6Hz 132Hz  188Hz   99.0dB    3l +   2l  + 1x40mm   1165mm
 73.5Hz 139Hz  194Hz  100.5dB    3l +   2l  + 1x40mm   1039mm
 79.9Hz 148Hz  200Hz  101.9dB    2l +   2l  + 1x40mm    926mm
 86.7Hz 156Hz  207Hz  103.3dB    2l +   2l  + 1x40mm    825mm
 93.9Hz 142Hz  214Hz  104.7dB    2l +   2l  + 1x40mm   1001mm
101.7Hz 147Hz  222Hz  106.1dB    2l +   2l  + 1x40mm    937mm
110.0Hz 159Hz  230Hz  107.5dB    2l +   2l  - 1x40mm    795mm
102.2Hz 169Hz  239Hz  106.2dB    2l +   2l  - 1x40mm    708mm
111.6Hz 179Hz  249Hz  107.7dB    1l +   2l  - 1x40mm    632mm
138.4Hz 189Hz  259Hz  111.5dB    1l +   2l  - 1x40mm    563mm
 43.5Hz 105Hz  256Hz   91.3dB    6l +   1l  + 1x40mm   2609mm
 47.9Hz 112Hz  260Hz   93.0dB    5l +   1l  + 1x40mm   2326mm
 52.8Hz 118Hz  265Hz   94.7dB    4l +   1l  + 1x40mm   2073mm
 58.1Hz 125Hz  271Hz   96.4dB    3l +   1l  + 1x40mm   1847mm
 63.8Hz 133Hz  276Hz   98.0dB    3l +   1l  + 1x40mm   1646mm
 70.0Hz 141Hz  283Hz   99.6dB    2l +   1l  + 1x40mm   1467mm
 76.7Hz 149Hz  289Hz  101.2dB    2l +   1l  + 1x40mm   1307mm
 84.0Hz 158Hz  296Hz  102.8dB    2l +   1l  + 1x40mm   1165mm
 91.8Hz 167Hz  304Hz  104.3dB    2l +   1l  + 1x40mm   1039mm
100.2Hz 177Hz  313Hz  105.9dB    1l +   1l  + 1x40mm    926mm
109.3Hz 188Hz  322Hz  107.4dB    1l +   1l  + 1x40mm    825mm
119.1Hz 199Hz  332Hz  108.8dB    1l +   1l  - 1x40mm    735mm
129.5Hz 210Hz  342Hz  110.3dB    1l +   1l  - 1x40mm    655mm
140.7Hz 223Hz  353Hz  111.7dB    1l +   1l  - 1x40mm    584mm
