-------------
C104   
            87.0dB           150W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.7Hz  38Hz   63Hz   97.7dB   99l +  20l  * 1x50mm   2111mm
 18.3Hz  40Hz   64Hz   99.2dB   75l +  20l  * 1x50mm   1882mm
 20.0Hz  42Hz   66Hz  100.8dB   60l +  20l  * 1x50mm   1677mm
 21.8Hz  45Hz   68Hz  102.3dB   48l +  20l  * 1x50mm   1495mm
 23.8Hz  48Hz   70Hz  103.8dB   40l +  20l  * 1x50mm   1332mm
 25.9Hz  50Hz   72Hz  105.3dB   33l +  20l  * 1x50mm   1187mm
 28.2Hz  53Hz   74Hz  106.7dB   28l +  20l  * 1x50mm   1058mm
 30.6Hz  57Hz   77Hz  108.2dB   24l +  20l  * 1x50mm    943mm
 33.2Hz  60Hz   79Hz  109.6dB   20l +  20l  * 1x50mm    841mm
 36.0Hz  54Hz   82Hz  111.0dB   27l +  20l  * 1x50mm   1020mm
 39.0Hz  56Hz   85Hz  112.4dB   24l +  20l  * 1x50mm    955mm
 42.2Hz  61Hz   88Hz  113.7dB   19l +  20l  * 1x50mm    810mm
 39.2Hz  65Hz   92Hz  112.5dB   17l +  20l  * 1x50mm    722mm
 42.8Hz  68Hz   95Hz  114.0dB   15l +  20l  * 1x50mm    643mm
 53.0Hz  73Hz   99Hz  117.7dB   13l +  20l  * 1x50mm    573mm
 16.7Hz  40Hz   98Hz   97.6dB   72l +  14l  * 1x50mm   2658mm
 18.4Hz  43Hz  100Hz   99.3dB   57l +  14l  * 1x50mm   2369mm
 20.2Hz  45Hz  102Hz  101.0dB   47l +  14l  * 1x50mm   2112mm
 22.3Hz  48Hz  104Hz  102.6dB   39l +  14l  * 1x50mm   1882mm
 24.5Hz  51Hz  106Hz  104.3dB   32l +  14l  * 1x50mm   1677mm
 26.8Hz  54Hz  108Hz  105.9dB   27l +  14l  * 1x50mm   1495mm
 29.4Hz  57Hz  111Hz  107.5dB   23l +  14l  * 1x50mm   1332mm
 32.2Hz  60Hz  114Hz  109.1dB   20l +  14l  * 1x50mm   1187mm
 35.2Hz  64Hz  117Hz  110.6dB   17l +  14l  * 1x50mm   1058mm
 38.4Hz  68Hz  120Hz  112.1dB   15l +  14l  * 1x50mm    943mm
 41.9Hz  72Hz  123Hz  113.6dB   13l +  14l  * 1x50mm    841mm
 45.6Hz  76Hz  127Hz  115.1dB   11l +  14l  * 1x50mm    749mm
 49.6Hz  81Hz  131Hz  116.6dB   10l +  14l  * 1x50mm    668mm
 53.9Hz  85Hz  135Hz  118.0dB    9l +  14l  * 1x50mm    595mm
 58.5Hz  91Hz  140Hz  119.4dB    8l +  14l  * 1x50mm    530mm
 63.4Hz  96Hz  145Hz  120.8dB    7l +  14l  * 1x50mm    473mm
 68.7Hz 102Hz  150Hz  122.2dB    6l +  14l  * 1x50mm    421mm
-------------
C124   
            89.0dB           150W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 12.8Hz  27Hz   55Hz   96.1dB 84013l +  51l  * 1x70mm   3226mm
 14.0Hz  28Hz   56Hz   97.7dB 1035l +  51l  * 1x70mm   2875mm
 15.3Hz  30Hz   58Hz   99.3dB  491l +  51l  * 1x70mm   2563mm
 16.8Hz  32Hz   59Hz  100.9dB  309l +  51l  * 1x70mm   2284mm
 18.3Hz  33Hz   61Hz  102.4dB  218l +  51l  * 1x70mm   2036mm
 20.0Hz  35Hz   62Hz  104.0dB  164l +  51l  * 1x70mm   1814mm
 21.8Hz  37Hz   64Hz  105.5dB  128l +  51l  * 1x70mm   1617mm
 23.8Hz  40Hz   66Hz  106.9dB  103l +  51l  * 1x70mm   1441mm
 25.9Hz  42Hz   68Hz  108.4dB   84l +  51l  * 1x70mm   1284mm
 28.1Hz  45Hz   71Hz  109.8dB   70l +  51l  * 1x70mm   1145mm
 30.5Hz  47Hz   73Hz  111.3dB   59l +  51l  * 1x70mm   1020mm
 33.1Hz  50Hz   75Hz  112.7dB   50l +  51l  * 1x70mm    909mm
 35.8Hz  52Hz   78Hz  114.0dB   46l +  51l  * 1x70mm    852mm
 38.7Hz  56Hz   81Hz  115.4dB   37l +  51l  * 1x70mm    722mm
 41.8Hz  59Hz   84Hz  116.8dB   32l +  51l  * 1x70mm    644mm
 45.2Hz  63Hz   88Hz  118.1dB   28l +  51l  * 1x70mm    574mm
 48.7Hz  67Hz   91Hz  119.4dB   24l +  51l  * 1x70mm    511mm
 12.8Hz  31Hz   55Hz   96.1dB  353l +  37l  * 1x70mm   3226mm
 14.0Hz  33Hz   56Hz   97.7dB  242l +  37l  * 1x70mm   2875mm
 15.3Hz  35Hz   58Hz   99.3dB  179l +  37l  * 1x70mm   2562mm
 16.8Hz  37Hz   59Hz  100.9dB  138l +  37l  * 1x70mm   2284mm
 18.3Hz  39Hz   61Hz  102.4dB  110l +  37l  * 1x70mm   2036mm
 20.0Hz  41Hz   62Hz  104.0dB   90l +  37l  * 1x70mm   1814mm
 21.8Hz  44Hz   64Hz  105.5dB   74l +  37l  * 1x70mm   1617mm
 23.8Hz  46Hz   66Hz  106.9dB   62l +  37l  * 1x70mm   1441mm
 25.9Hz  49Hz   68Hz  108.4dB   53l +  37l  * 1x70mm   1285mm
 28.1Hz  52Hz   71Hz  109.8dB   45l +  37l  * 1x70mm   1145mm
 30.5Hz  55Hz   73Hz  111.3dB   39l +  37l  * 1x70mm   1020mm
 33.1Hz  50Hz   75Hz  112.7dB   50l +  37l  * 1x70mm   1238mm
 35.8Hz  52Hz   78Hz  114.0dB   46l +  37l  * 1x70mm   1159mm
 38.7Hz  56Hz   81Hz  115.4dB   37l +  37l  * 1x70mm    983mm
 36.0Hz  59Hz   84Hz  114.1dB   32l +  37l  * 1x70mm    876mm
 39.3Hz  63Hz   88Hz  115.7dB   28l +  37l  * 1x70mm    781mm
 48.7Hz  67Hz   91Hz  119.4dB   24l +  37l  * 1x70mm    696mm
 15.3Hz  37Hz   90Hz   99.3dB  133l +  26l  * 1x70mm   3226mm
 16.9Hz  39Hz   92Hz  101.0dB  106l +  26l  * 1x70mm   2876mm
 18.6Hz  42Hz   93Hz  102.7dB   87l +  26l  * 1x70mm   2563mm
 20.4Hz  44Hz   95Hz  104.3dB   72l +  26l  * 1x70mm   2284mm
 22.5Hz  47Hz   97Hz  105.9dB   61l +  26l  * 1x70mm   2036mm
 24.6Hz  50Hz   99Hz  107.6dB   51l +  26l  * 1x70mm   1814mm
 27.0Hz  52Hz  102Hz  109.2dB   44l +  26l  * 1x70mm   1617mm
 29.6Hz  56Hz  104Hz  110.7dB   38l +  26l  * 1x70mm   1441mm
 32.3Hz  59Hz  107Hz  112.3dB   33l +  26l  * 1x70mm   1284mm
 35.3Hz  62Hz  110Hz  113.8dB   28l +  26l  * 1x70mm   1145mm
 38.5Hz  66Hz  113Hz  115.3dB   25l +  26l  * 1x70mm   1020mm
 41.9Hz  70Hz  117Hz  116.8dB   21l +  26l  * 1x70mm    909mm
 45.6Hz  74Hz  120Hz  118.2dB   19l +  26l  * 1x70mm    810mm
 49.5Hz  78Hz  124Hz  119.7dB   16l +  26l  * 1x70mm    722mm
 53.7Hz  83Hz  129Hz  121.1dB   14l +  26l  * 1x70mm    644mm
 58.3Hz  88Hz  133Hz  122.5dB   13l +  26l  * 1x70mm    574mm
 63.1Hz  93Hz  138Hz  123.9dB   11l +  26l  * 1x70mm    511mm
-------------
C128   
            89.0dB           150W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.0Hz  27Hz   56Hz   96.5dB 2632l +  49l  * 1x70mm   3226mm
 14.3Hz  29Hz   58Hz   98.1dB  725l +  49l  * 1x70mm   2875mm
 15.7Hz  30Hz   59Hz   99.7dB  400l +  49l  * 1x70mm   2563mm
 17.2Hz  32Hz   61Hz  101.3dB  266l +  49l  * 1x70mm   2284mm
 18.8Hz  34Hz   62Hz  102.8dB  193l +  49l  * 1x70mm   2036mm
 20.5Hz  36Hz   64Hz  104.4dB  148l +  49l  * 1x70mm   1814mm
 22.3Hz  38Hz   66Hz  105.9dB  117l +  49l  * 1x70mm   1617mm
 24.3Hz  41Hz   68Hz  107.3dB   95l +  49l  * 1x70mm   1441mm
 26.5Hz  43Hz   70Hz  108.8dB   78l +  49l  * 1x70mm   1284mm
 28.8Hz  46Hz   72Hz  110.2dB   65l +  49l  * 1x70mm   1145mm
 31.2Hz  48Hz   75Hz  111.7dB   55l +  49l  * 1x70mm   1020mm
