-------------
AC250SW
            88.0dB           180W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 28.0Hz  40Hz   61Hz  110.5dB   63l +  36l  * 1x70mm   1954mm
 30.3Hz  44Hz   64Hz  111.9dB   47l +  36l  * 1x70mm   1658mm
 28.2Hz  47Hz   66Hz  110.6dB   39l +  36l  * 1x70mm   1477mm
 30.8Hz  49Hz   69Hz  112.1dB   32l +  36l  * 1x70mm   1317mm
 38.2Hz  52Hz   71Hz  115.9dB   27l +  36l  * 1x70mm   1173mm
 12.0Hz  29Hz   71Hz   95.8dB  860l +  25l  * 1x70mm   5439mm
 13.2Hz  31Hz   72Hz   97.5dB  323l +  25l  * 1x70mm   4849mm
 14.6Hz  33Hz   73Hz   99.1dB  190l +  25l  * 1x70mm   4322mm
 16.0Hz  35Hz   75Hz  100.8dB  130l +  25l  * 1x70mm   3851mm
 17.6Hz  37Hz   76Hz  102.4dB   96l +  25l  * 1x70mm   3433mm
 19.3Hz  39Hz   78Hz  104.0dB   74l +  25l  * 1x70mm   3059mm
 21.2Hz  41Hz   80Hz  105.6dB   59l +  25l  * 1x70mm   2726mm
 23.2Hz  44Hz   82Hz  107.2dB   48l +  25l  * 1x70mm   2430mm
 25.3Hz  46Hz   84Hz  108.7dB   40l +  25l  * 1x70mm   2166mm
 27.6Hz  49Hz   86Hz  110.3dB   33l +  25l  * 1x70mm   1930mm
 30.1Hz  52Hz   89Hz  111.8dB   28l +  25l  * 1x70mm   1720mm
 32.8Hz  55Hz   91Hz  113.3dB   24l +  25l  * 1x70mm   1533mm
 35.7Hz  58Hz   94Hz  114.7dB   21l +  25l  * 1x70mm   1366mm
 38.8Hz  61Hz   97Hz  116.2dB   18l +  25l  * 1x70mm   1218mm
 42.1Hz  65Hz  101Hz  117.6dB   15l +  25l  * 1x70mm   1085mm
 45.6Hz  69Hz  104Hz  119.0dB   13l +  25l  * 1x70mm    967mm
 49.4Hz  73Hz  108Hz  120.4dB   12l +  25l  * 1x70mm    862mm
