-------------
AWM104
            88.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 30.4Hz  69Hz  115Hz  109.9dB   14l +   5l  * 1x70mm   4564mm
 33.3Hz  73Hz  117Hz  111.5dB   12l +   5l  * 1x70mm   4068mm
 36.4Hz  77Hz  121Hz  113.0dB   11l +   5l  * 1x70mm   3626mm
 39.7Hz  82Hz  124Hz  114.5dB    9l +   5l  * 1x70mm   3231mm
 43.3Hz  87Hz  127Hz  116.0dB    8l +   5l  * 1x70mm   2880mm
 47.2Hz  92Hz  131Hz  117.5dB    7l +   5l  * 1x70mm   2567mm
 51.3Hz  97Hz  135Hz  119.0dB    6l +   5l  * 1x70mm   2288mm
 55.8Hz 103Hz  140Hz  120.4dB    5l +   5l  * 1x70mm   2039mm
 60.5Hz 109Hz  145Hz  121.8dB    5l +   5l  * 1x70mm   1817mm
 65.6Hz  99Hz  150Hz  123.2dB    6l +   5l  * 1x70mm   2204mm
 71.0Hz 102Hz  155Hz  124.6dB    5l +   5l  * 1x70mm   2065mm
 76.8Hz 111Hz  161Hz  126.0dB    5l +   5l  * 1x70mm   1751mm
 71.3Hz 118Hz  167Hz  124.7dB    4l +   5l  * 1x70mm   1560mm
 77.9Hz 125Hz  174Hz  126.2dB    4l +   5l  * 1x70mm   1391mm
 96.6Hz 132Hz  181Hz  130.0dB    3l +   5l  * 1x70mm   1239mm
 30.3Hz  74Hz  179Hz  109.9dB   12l +   4l  * 1x70mm   5745mm
 33.5Hz  78Hz  182Hz  111.6dB   10l +   4l  * 1x70mm   5122mm
 36.9Hz  83Hz  185Hz  113.2dB    9l +   4l  * 1x70mm   4565mm
 40.6Hz  88Hz  189Hz  114.9dB    8l +   4l  * 1x70mm   4068mm
 44.6Hz  93Hz  193Hz  116.5dB    7l +   4l  * 1x70mm   3626mm
 48.9Hz  98Hz  197Hz  118.1dB    6l +   4l  * 1x70mm   3231mm
 53.6Hz 104Hz  202Hz  119.7dB    5l +   4l  * 1x70mm   2880mm
 58.7Hz 110Hz  207Hz  121.3dB    5l +   4l  * 1x70mm   2566mm
 64.1Hz 117Hz  212Hz  122.8dB    4l +   4l  * 1x70mm   2288mm
 70.0Hz 124Hz  218Hz  124.4dB    4l +   4l  * 1x70mm   2039mm
 76.3Hz 131Hz  225Hz  125.9dB    3l +   4l  * 1x70mm   1817mm
 83.1Hz 139Hz  232Hz  127.4dB    3l +   4l  * 1x70mm   1619mm
 90.4Hz 147Hz  239Hz  128.8dB    2l +   4l  * 1x70mm   1443mm
 98.2Hz 156Hz  247Hz  130.3dB    2l +   4l  * 1x70mm   1286mm
106.6Hz 165Hz  255Hz  131.7dB    2l +   4l  * 1x70mm   1147mm
115.6Hz 175Hz  264Hz  133.1dB    2l +   4l  * 1x70mm   1022mm
125.1Hz 185Hz  274Hz  134.5dB    2l +   4l  * 1x70mm    911mm
-------------
AWX184
            98.0dB           500W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 18.4Hz  38Hz   80Hz  103.4dB  364l +  67l  * 1x100mm  2396mm
 20.2Hz  41Hz   81Hz  105.1dB  288l +  67l  * 1x100mm  2136mm
 22.1Hz  43Hz   83Hz  106.6dB  233l +  67l  * 1x100mm  1903mm
 24.2Hz  45Hz   85Hz  108.2dB  193l +  67l  * 1x100mm  1697mm
 26.5Hz  48Hz   88Hz  109.8dB  161l +  67l  * 1x100mm  1512mm
 28.9Hz  51Hz   90Hz  111.3dB  136l +  67l  * 1x100mm  1348mm
 31.5Hz  54Hz   93Hz  112.8dB  116l +  67l  * 1x100mm  1201mm
