-------------
Aura_NSW1_205_8A
            78.0dB             5W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NSW2_326_8A
            84.0dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NS3_193_8A
            80.0dB            20W       1x40mm
 39.8Hz  77Hz  150Hz  103.0dB    7l +   4l  * 1x40mm   1681mm
 43.5Hz  82Hz  154Hz  104.5dB    6l +   4l  * 1x40mm   1499mm
 47.6Hz  87Hz  158Hz  106.1dB    5l +   4l  * 1x40mm   1336mm
 52.0Hz  92Hz  162Hz  107.6dB    4l +   4l  * 1x40mm   1190mm
 56.7Hz  97Hz  167Hz  109.1dB    4l +   4l  * 1x40mm   1061mm
 61.7Hz 103Hz  172Hz  110.6dB    3l +   4l  * 1x40mm    946mm
 67.1Hz 109Hz  177Hz  112.0dB    3l +   4l  * 1x40mm    843mm
 72.9Hz 116Hz  183Hz  113.5dB    2l +   4l  * 1x40mm    751mm
 79.1Hz 122Hz  189Hz  114.9dB    2l +   4l  * 1x40mm    669mm
-------------
Aura_NFS8_495_4A
            84.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 26.7Hz  56Hz  116Hz   91.4dB   11l +   3l  * 1x40mm   4547mm
 29.3Hz  59Hz  118Hz   93.0dB    9l +   3l  * 1x40mm   4053mm
 32.1Hz  62Hz  121Hz   94.6dB    8l +   3l  * 1x40mm   3612mm
 35.2Hz  66Hz  124Hz   96.1dB    7l +   3l  * 1x40mm   3220mm
 38.5Hz  70Hz  127Hz   97.7dB    6l +   3l  * 1x40mm   2869mm
 42.0Hz  74Hz  131Hz   99.2dB    5l +   3l  * 1x40mm   2557mm
 45.8Hz  79Hz  135Hz  100.7dB    4l +   3l  * 1x40mm   2279mm
 49.9Hz  83Hz  139Hz  102.2dB    4l +   3l  * 1x40mm   2031mm
 54.2Hz  88Hz  143Hz  103.7dB    3l +   3l  * 1x40mm   1810mm
 58.9Hz  93Hz  148Hz  105.1dB    3l +   3l  * 1x40mm   1613mm
 64.0Hz  99Hz  153Hz  106.5dB    2l +   3l  * 1x40mm   1438mm
 69.3Hz 105Hz  158Hz  107.9dB    2l +   3l  * 1x40mm   1282mm
 75.1Hz 108Hz  164Hz  109.3dB    2l +   3l  * 1x40mm   1200mm
 81.2Hz 118Hz  170Hz  110.7dB    2l +   3l  * 1x40mm   1018mm
 26.7Hz  65Hz  116Hz   91.4dB    7l +   2l  * 1x40mm   4547mm
 29.3Hz  69Hz  118Hz   93.0dB    6l +   2l  * 1x40mm   4052mm
 32.1Hz  73Hz  121Hz   94.6dB    5l +   2l  * 1x40mm   3611mm
 35.2Hz  77Hz  124Hz   96.1dB    4l +   2l  * 1x40mm   3219mm
 38.5Hz  82Hz  127Hz   97.7dB    4l +   2l  * 1x40mm   2869mm
 42.0Hz  87Hz  131Hz   99.2dB    3l +   2l  * 1x40mm   2557mm
 45.8Hz  92Hz  135Hz  100.7dB    3l +   2l  * 1x40mm   2279mm
 49.9Hz  97Hz  139Hz  102.2dB    3l +   2l  * 1x40mm   2031mm
 54.2Hz 103Hz  143Hz  103.7dB    2l +   2l  * 1x40mm   1810mm
 58.9Hz 109Hz  148Hz  105.1dB    2l +   2l  * 1x40mm   1613mm
 64.0Hz 115Hz  153Hz  106.5dB    2l +   2l  * 1x40mm   1438mm
 69.3Hz 105Hz  158Hz  107.9dB    2l +   2l  * 1x40mm   1745mm
 75.1Hz 108Hz  164Hz  109.3dB    2l +   2l  * 1x40mm   1634mm
 81.2Hz 118Hz  170Hz  110.7dB    2l +   2l  * 1x40mm   1386mm
 75.4Hz 124Hz  177Hz  109.4dB    1l +   2l  * 1x40mm   1235mm
 82.3Hz 132Hz  184Hz  110.9dB    1l +   2l  * 1x40mm   1101mm
 32.1Hz  78Hz  189Hz   94.5dB    4l +   1l  * 1x40mm   4547mm
 35.4Hz  82Hz  192Hz   96.2dB    4l +   1l  * 1x40mm   4053mm
 39.0Hz  87Hz  196Hz   97.9dB    3l +   1l  * 1x40mm   3612mm
 42.9Hz  93Hz  200Hz   99.6dB    3l +   1l  * 1x40mm   3219mm
 47.1Hz  98Hz  204Hz  101.2dB    2l +   1l  * 1x40mm   2869mm
 51.7Hz 104Hz  208Hz  102.8dB    2l +   1l  * 1x40mm   2557mm
 56.6Hz 110Hz  213Hz  104.4dB    2l +   1l  * 1x40mm   2279mm
 62.0Hz 116Hz  219Hz  106.0dB    2l +   1l  * 1x40mm   2031mm
 67.8Hz 123Hz  225Hz  107.5dB    1l +   1l  * 1x40mm   1810mm
 74.0Hz 131Hz  231Hz  109.1dB    1l +   1l  * 1x40mm   1613mm
 80.7Hz 138Hz  237Hz  110.6dB    1l +   1l  * 1x40mm   1438mm
-------------
Aura_NS10_513_4A
            84.0dB           200W      1x100mm
