-------------
18 HP 1030 A
            98.0dB          1200W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 56.1Hz 101Hz  134Hz  100.7dB    8l +   6l  * 1x40mm    571mm
 60.8Hz  92Hz  139Hz  102.1dB   11l +   6l  * 1x40mm    692mm
 65.8Hz  95Hz  144Hz  103.5dB   10l +   6l  * 1x40mm    648mm
 71.2Hz 103Hz  149Hz  104.8dB    8l +   6l  * 1x40mm    550mm
 66.1Hz 109Hz  155Hz  103.5dB    6l +   6l  - 1x50mm    766mm
 72.2Hz 116Hz  161Hz  105.1dB    5l +   6l  - 1x50mm    683mm
 28.1Hz  68Hz  166Hz   88.7dB   56l +   4l  * 1x40mm   1805mm
 31.0Hz  72Hz  169Hz   90.4dB   35l +   4l  * 1x40mm   1609mm
 34.2Hz  77Hz  172Hz   92.1dB   24l +   4l  * 1x40mm   1434mm
 37.6Hz  81Hz  175Hz   93.7dB   18l +   4l  * 1x40mm   1278mm
 41.3Hz  86Hz  179Hz   95.4dB   14l +   4l  * 1x40mm   1139mm
 45.3Hz  91Hz  183Hz   97.0dB   11l +   4l  * 1x40mm   1015mm
 49.7Hz  96Hz  187Hz   98.6dB    9l +   4l  * 1x40mm    904mm
 54.4Hz 102Hz  192Hz  100.1dB    8l +   4l  * 1x40mm    806mm
 59.4Hz 108Hz  197Hz  101.7dB    7l +   4l  * 1x40mm    719mm
 64.9Hz 115Hz  202Hz  103.2dB    6l +   4l  * 1x40mm    640mm
 70.8Hz 121Hz  208Hz  104.7dB    5l +   4l  * 1x40mm    571mm
 77.1Hz 129Hz  215Hz  106.2dB    4l +   4l  - 1x50mm    795mm
 83.8Hz 136Hz  221Hz  107.7dB    4l +   4l  - 1x50mm    708mm
