-------------
LAT250 4/4
            91.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 22.6Hz  51Hz  113Hz  100.7dB   36l +  12l  * 1x70mm   3628mm
 24.8Hz  54Hz  116Hz  102.4dB   30l +  12l  * 1x70mm   3233mm
 27.3Hz  57Hz  118Hz  104.0dB   26l +  12l  * 1x70mm   2882mm
 29.9Hz  60Hz  121Hz  105.6dB   22l +  12l  * 1x70mm   2568mm
 32.8Hz  64Hz  124Hz  107.2dB   19l +  12l  * 1x70mm   2289mm
 35.9Hz  67Hz  127Hz  108.8dB   17l +  12l  * 1x70mm   2040mm
 39.2Hz  71Hz  130Hz  110.3dB   15l +  12l  * 1x70mm   1818mm
 42.8Hz  76Hz  134Hz  111.9dB   13l +  12l  * 1x70mm   1620mm
 46.7Hz  80Hz  137Hz  113.4dB   11l +  12l  * 1x70mm   1444mm
 50.9Hz  85Hz  142Hz  114.9dB   10l +  12l  * 1x70mm   1287mm
 55.3Hz  90Hz  146Hz  116.3dB    9l +  12l  * 1x70mm   1147mm
 60.1Hz  95Hz  151Hz  117.8dB    8l +  12l  * 1x70mm   1022mm
 65.2Hz 101Hz  156Hz  119.2dB    7l +  12l  * 1x70mm    911mm
 70.7Hz 107Hz  162Hz  120.6dB    6l +  12l  * 1x70mm    812mm
 76.6Hz 113Hz  167Hz  122.0dB    5l +  12l  * 1x70mm    724mm
-------------
LAT500 8/8
            92.0dB           250W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 14.5Hz  28Hz   55Hz   94.8dB 4983l +  40l  * 1x70mm   3627mm
 15.9Hz  30Hz   56Hz   96.4dB  579l +  40l  * 1x70mm   3233mm
 17.4Hz  32Hz   58Hz   97.9dB  290l +  40l  * 1x70mm   2881mm
 19.0Hz  34Hz   59Hz   99.5dB  186l +  40l  * 1x70mm   2568mm
 20.7Hz  36Hz   61Hz  101.0dB  133l +  40l  * 1x70mm   2289mm
 22.6Hz  38Hz   63Hz  102.4dB  100l +  40l  * 1x70mm   2040mm
 24.5Hz  40Hz   65Hz  103.9dB   79l +  40l  * 1x70mm   1818mm
 26.7Hz  42Hz   67Hz  105.3dB   64l +  40l  * 1x70mm   1620mm
 28.9Hz  45Hz   69Hz  106.8dB   52l +  40l  * 1x70mm   1444mm
 31.4Hz  47Hz   72Hz  108.2dB   43l +  40l  * 1x70mm   1287mm
 34.0Hz  49Hz   74Hz  109.5dB   39l +  40l  * 1x70mm   1205mm
 36.7Hz  53Hz   77Hz  110.9dB   31l +  40l  * 1x70mm   1022mm
 39.7Hz  56Hz   80Hz  112.3dB   27l +  40l  * 1x70mm    911mm
 42.8Hz  60Hz   83Hz  113.6dB   23l +  40l  * 1x70mm    812mm
 46.2Hz  63Hz   86Hz  114.9dB   20l +  40l  * 1x70mm    724mm
 12.1Hz  29Hz   52Hz   91.6dB  821l +  29l  * 1x70mm   4567mm
