-------------
M5N
            82.0dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.7Hz  39Hz   62Hz   89.2dB   68l +  17l  * 1x40mm   1490mm
 19.3Hz  41Hz   64Hz   90.7dB   53l +  17l  * 1x40mm   1328mm
 21.1Hz  44Hz   66Hz   92.2dB   43l +  17l  * 1x40mm   1183mm
 23.0Hz  46Hz   68Hz   93.8dB   35l +  17l  * 1x40mm   1055mm
 25.1Hz  49Hz   70Hz   95.2dB   29l +  17l  * 1x40mm    940mm
 27.3Hz  52Hz   72Hz   96.7dB   25l +  17l  * 1x40mm    838mm
 29.6Hz  55Hz   74Hz   98.1dB   21l +  17l  * 1x40mm    747mm
 32.2Hz  58Hz   77Hz   99.6dB   18l +  17l  * 1x40mm    666mm
 34.9Hz  53Hz   80Hz  101.0dB   23l +  17l  * 1x40mm    807mm
 37.7Hz  54Hz   82Hz  102.3dB   21l +  17l  * 1x40mm    756mm
 40.8Hz  59Hz   86Hz  103.7dB   17l +  17l  * 1x40mm    641mm
 37.9Hz  63Hz   89Hz  102.4dB   15l +  17l  * 1x40mm    572mm
 41.4Hz  66Hz   92Hz  103.9dB   13l +  17l  - 1x50mm    796mm
 51.4Hz  70Hz   96Hz  107.7dB   11l +  17l  - 1x50mm    709mm
 16.1Hz  39Hz   95Hz   87.6dB   65l +  12l  * 1x40mm   2104mm
 17.8Hz  41Hz   97Hz   89.3dB   51l +  12l  * 1x40mm   1876mm
 19.6Hz  44Hz   98Hz   90.9dB   41l +  12l  * 1x40mm   1672mm
 21.6Hz  47Hz  100Hz   92.6dB   34l +  12l  * 1x40mm   1490mm
 23.7Hz  49Hz  103Hz   94.2dB   28l +  12l  * 1x40mm   1328mm
 26.0Hz  52Hz  105Hz   95.9dB   24l +  12l  * 1x40mm   1184mm
 28.5Hz  55Hz  107Hz   97.4dB   20l +  12l  * 1x40mm   1055mm
 31.2Hz  59Hz  110Hz   99.0dB   17l +  12l  * 1x40mm    940mm
 34.1Hz  62Hz  113Hz  100.6dB   15l +  12l  * 1x40mm    838mm
 37.2Hz  66Hz  116Hz  102.1dB   13l +  12l  * 1x40mm    747mm
 40.6Hz  70Hz  119Hz  103.6dB   11l +  12l  * 1x40mm    666mm
 44.2Hz  74Hz  123Hz  105.1dB   10l +  12l  * 1x40mm    593mm
 48.1Hz  78Hz  127Hz  106.5dB    9l +  12l  * 1x40mm    529mm
 52.2Hz  83Hz  131Hz  108.0dB    7l +  12l  - 1x50mm    736mm
 56.7Hz  88Hz  136Hz  109.4dB    7l +  12l  - 1x50mm    656mm
 61.4Hz  93Hz  140Hz  110.8dB    6l +  12l  - 1x50mm    585mm
 66.5Hz  98Hz  145Hz  112.2dB    5l +  12l  - 1x50mm    521mm
-------------
F5
            86.0dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 26.6Hz  55Hz  115Hz   81.4dB   69l +   3l  + 1x40mm   3935mm
 29.2Hz  59Hz  118Hz   83.0dB   33l +   3l  + 1x40mm   3507mm
 32.0Hz  62Hz  120Hz   84.6dB   21l +   3l  + 1x40mm   3125mm
