-------------
hm130c0
            88.0dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 33.2Hz  73Hz  117Hz   90.6dB   12l +   5l  * 1x40mm   1407mm
 36.3Hz  77Hz  120Hz   92.2dB   11l +   5l  * 1x40mm   1254mm
 39.6Hz  82Hz  124Hz   93.7dB    9l +   5l  * 1x40mm   1117mm
 43.2Hz  87Hz  127Hz   95.2dB    8l +   5l  * 1x40mm    996mm
 47.1Hz  92Hz  131Hz   96.7dB    7l +   5l  * 1x40mm    888mm
 51.2Hz  97Hz  135Hz   98.1dB    6l +   5l  * 1x40mm    791mm
 55.6Hz 103Hz  140Hz   99.6dB    5l +   5l  * 1x40mm    705mm
 60.4Hz 109Hz  144Hz  101.0dB    5l +   5l  * 1x40mm    628mm
 65.4Hz  99Hz  149Hz  102.4dB    6l +   5l  * 1x40mm    762mm
 70.9Hz 102Hz  155Hz  103.8dB    5l +   5l  * 1x40mm    714mm
 76.7Hz 111Hz  161Hz  105.1dB    4l +   5l  * 1x40mm    606mm
 71.2Hz 118Hz  167Hz  103.9dB    4l +   5l  * 1x40mm    540mm
 77.7Hz 124Hz  173Hz  105.4dB    3l +   5l  - 1x50mm    752mm
 96.4Hz 132Hz  180Hz  109.1dB    3l +   5l  - 1x50mm    670mm
 30.3Hz  73Hz  178Hz   89.0dB   12l +   4l  * 1x40mm   1987mm
 33.4Hz  78Hz  181Hz   90.7dB   10l +   4l  * 1x40mm   1771mm
 36.8Hz  82Hz  185Hz   92.4dB    9l +   4l  * 1x40mm   1579mm
 40.5Hz  87Hz  189Hz   94.0dB    8l +   4l  * 1x40mm   1407mm
 44.5Hz  93Hz  193Hz   95.7dB    7l +   4l  * 1x40mm   1254mm
 48.8Hz  98Hz  197Hz   97.3dB    6l +   4l  * 1x40mm   1117mm
 53.5Hz 104Hz  202Hz   98.9dB    5l +   4l  * 1x40mm    996mm
 58.5Hz 110Hz  207Hz  100.5dB    4l +   4l  * 1x40mm    888mm
 64.0Hz 116Hz  212Hz  102.0dB    4l +   4l  * 1x40mm    791mm
 69.9Hz 123Hz  218Hz  103.5dB    3l +   4l  * 1x40mm    705mm
 76.2Hz 131Hz  224Hz  105.0dB    3l +   4l  * 1x40mm    628mm
 83.0Hz 138Hz  231Hz  106.5dB    3l +   4l  * 1x40mm    560mm
 90.2Hz 147Hz  238Hz  108.0dB    2l +   4l  - 1x50mm    780mm
 98.0Hz 155Hz  246Hz  109.4dB    2l +   4l  - 1x50mm    695mm
106.4Hz 165Hz  254Hz  110.8dB    2l +   4l  - 1x50mm    620mm
115.3Hz 174Hz  263Hz  112.2dB    2l +   4l  - 1x50mm    552mm
124.9Hz 185Hz  273Hz  113.6dB    1l +   4l  - 1x50mm    492mm
-------------
hm210c0
            91.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.0Hz  44Hz   91Hz   89.3dB   70l +  16l  * 1x40mm   1208mm
 23.0Hz  46Hz   93Hz   90.9dB   58l +  16l  * 1x40mm   1076mm
 25.2Hz  49Hz   95Hz   92.5dB   49l +  16l  * 1x40mm    959mm
 27.6Hz  52Hz   97Hz   94.1dB   41l +  16l  * 1x40mm    855mm
 30.2Hz  55Hz  100Hz   95.6dB   35l +  16l  * 1x40mm    762mm
 33.0Hz  58Hz  103Hz   97.2dB   30l +  16l  * 1x40mm    679mm
 36.0Hz  62Hz  106Hz   98.7dB   26l +  16l  * 1x40mm    605mm
 39.2Hz  65Hz  109Hz  100.2dB   23l +  16l  * 1x40mm    540mm
 42.6Hz  69Hz  112Hz  101.6dB   20l +  16l  - 1x50mm    751mm
 46.3Hz  73Hz  116Hz  103.0dB   17l +  16l  - 1x50mm    670mm
 50.2Hz  78Hz  120Hz  104.5dB   15l +  16l  - 1x50mm    597mm
 54.4Hz  82Hz  124Hz  105.9dB   13l +  16l  - 1x50mm    532mm
 58.9Hz  85Hz  129Hz  107.3dB   12l +  16l  - 1x50mm    498mm
 63.8Hz  92Hz  134Hz  108.6dB   10l +  16l  - 1x50mm    423mm
 68.9Hz  98Hz  139Hz  110.0dB    9l +  16l    1x70mm    738mm
 74.4Hz 104Hz  144Hz  111.3dB    8l +  16l    1x70mm    658mm
 80.2Hz 110Hz  150Hz  112.6dB    7l +  16l    1x70mm    586mm
 21.0Hz  51Hz   91Hz   89.3dB   43l +  12l  * 1x40mm   1208mm
 23.0Hz  54Hz   93Hz   90.9dB   37l +  12l  * 1x40mm   1076mm
 25.2Hz  57Hz   95Hz   92.5dB   32l +  12l  * 1x40mm    959mm
 27.6Hz  61Hz   97Hz   94.1dB   27l +  12l  * 1x40mm    855mm
 30.2Hz  64Hz  100Hz   95.6dB   24l +  12l  * 1x40mm    762mm
