                       fs    mms    cms    sag    pct
CS330                 40.0  186.0  0.090  0.164  1.5% OK
CS392                 37.0  229.0  0.079  0.177  1.6% OK
CS393                 35.0  239.0  0.090  0.211  1.9% OK
CS450                 34.0  384.0  0.050  0.188  1.7% OK
CSW4000               30.0  350.0  0.078  0.268  1.3% OK
CW330                 40.0  179.0  0.090  0.158  1.4% OK
HW202                 30.0   21.0  1.30   0.268  5.4% Not OK
HW203                 37.0   21.4  0.860  0.181  6.0% Not OK
HW321                 27.0   67.0  0.520  0.342  4.9% OK
