-------------
F180
            90.0dB            30W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 47.2Hz  89Hz  125Hz   89.2dB    6l +   4l  + 1x40mm   1115mm
 51.3Hz  95Hz  129Hz   90.6dB    5l +   4l  + 1x40mm    994mm
 55.7Hz 100Hz  133Hz   92.0dB    5l +   4l  + 1x40mm    886mm
 60.3Hz  91Hz  138Hz   93.4dB    6l +   4l  + 1x40mm   1074mm
 65.3Hz  94Hz  143Hz   94.8dB    5l +   4l  + 1x40mm   1006mm
 70.7Hz 102Hz  148Hz   96.2dB    4l +   4l  + 1x40mm    853mm
 65.6Hz 108Hz  154Hz   94.9dB    4l +   4l  - 1x40mm    761mm
 71.7Hz 115Hz  160Hz   96.4dB    3l +   4l  - 1x40mm    678mm
 27.9Hz  68Hz  164Hz   80.0dB   17l +   3l  + 1x40mm   2800mm
 30.8Hz  72Hz  167Hz   81.7dB   13l +   3l  + 1x40mm   2496mm
 33.9Hz  76Hz  170Hz   83.4dB   11l +   3l  + 1x40mm   2225mm
 37.3Hz  81Hz  174Hz   85.1dB    9l +   3l  + 1x40mm   1983mm
 41.0Hz  85Hz  177Hz   86.7dB    7l +   3l  + 1x40mm   1767mm
 45.0Hz  90Hz  181Hz   88.3dB    6l +   3l  + 1x40mm   1575mm
 49.3Hz  96Hz  186Hz   89.9dB    5l +   3l  + 1x40mm   1403mm
 54.0Hz 101Hz  190Hz   91.5dB    4l +   3l  + 1x40mm   1251mm
 59.0Hz 107Hz  195Hz   93.0dB    4l +   3l  + 1x40mm   1115mm
 64.4Hz 114Hz  201Hz   94.6dB    3l +   3l  + 1x40mm    994mm
 70.2Hz 120Hz  207Hz   96.1dB    3l +   3l  + 1x40mm    886mm
 76.5Hz 128Hz  213Hz   97.5dB    2l +   3l  - 1x40mm    789mm
 83.2Hz 135Hz  220Hz   99.0dB    2l +   3l  - 1x40mm    704mm
