-------------
fr810hq
            94.0dB            45W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 23.5Hz  43Hz   59Hz  120.3dB  164l + 152l  * 2x100mm  1635mm
 25.5Hz  46Hz   61Hz  121.7dB  143l + 152l  * 2x100mm  1457mm
 27.6Hz  42Hz   63Hz  123.1dB  180l + 152l  * 2x100mm  1768mm
 29.9Hz  43Hz   65Hz  124.5dB  166l + 152l  * 2x100mm  1656mm
 32.4Hz  47Hz   68Hz  125.8dB  137l + 152l  * 2x100mm  1404mm
 30.1Hz  50Hz   70Hz  124.5dB  119l + 152l  * 2x100mm  1252mm
 32.8Hz  53Hz   73Hz  126.1dB  105l + 152l  * 2x100mm  1116mm
 40.7Hz  56Hz   76Hz  129.8dB   92l + 152l  * 2x100mm   994mm
 12.8Hz  31Hz   75Hz  109.7dB  400l + 106l  * 2x100mm  4608mm
 14.1Hz  33Hz   77Hz  111.4dB  338l + 106l  * 2x100mm  4108mm
 15.5Hz  35Hz   78Hz  113.1dB  288l + 106l  * 2x100mm  3661mm
 17.1Hz  37Hz   80Hz  114.7dB  246l + 106l  * 2x100mm  3263mm
 18.8Hz  39Hz   81Hz  116.4dB  212l + 106l  * 2x100mm  2908mm
 20.6Hz  41Hz   83Hz  118.0dB  184l + 106l  * 2x100mm  2592mm
 22.6Hz  44Hz   85Hz  119.6dB  160l + 106l  * 2x100mm  2310mm
 24.7Hz  46Hz   87Hz  121.1dB  139l + 106l  * 2x100mm  2058mm
 27.0Hz  49Hz   90Hz  122.7dB  122l + 106l  * 2x100mm  1835mm
 29.5Hz  52Hz   92Hz  124.2dB  107l + 106l  * 2x100mm  1635mm
 32.2Hz  55Hz   95Hz  125.7dB   94l + 106l  * 2x100mm  1457mm
 35.0Hz  58Hz   98Hz  127.2dB   83l + 106l  * 2x100mm  1299mm
 38.1Hz  62Hz  101Hz  128.6dB   73l + 106l  * 2x100mm  1158mm
 41.4Hz  66Hz  104Hz  130.1dB   64l + 106l  * 2x100mm  1032mm
 44.9Hz  69Hz  107Hz  131.5dB   57l + 106l  * 2x100mm   920mm
 48.7Hz  74Hz  111Hz  132.9dB   50l + 106l  * 2x100mm   820mm
 52.7Hz  78Hz  115Hz  134.3dB   44l + 106l  * 2x100mm   730mm
