                      fs     mms     qms        rms      rms/sd
Beta 10cx             49.0   27.0    5.000      1.663    0.00483
Beta 12cx             47.0   34.0    6.000      1.673    0.00315
Kappa15LFA            39.0  105.0    6.000      4.288    0.00501
OmegaPro18C           23.0  137.0    6.000      3.300    0.00285
Kilomax PRO 18A       33.0  186.0   14.000      2.755    0.30608
Sigma Pro 18-2        28.0  130.0    8.000      2.859    0.00251
LAB12                 22.0  146.0   13.000      1.552    0.00307
LAB15                 28.0  308.0    5.000     10.837    0.01317
Deltalite II 2515     42.0   72.0    4.000      4.750    0.00555
