-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.3Hz  36Hz   75Hz   82.8dB   93l +   8l  + 1x40mm   3655mm
 19.0Hz  38Hz   77Hz   84.4dB   59l +   8l  + 1x40mm   3258mm
 20.9Hz  40Hz   79Hz   86.0dB   42l +   8l  + 1x40mm   2903mm
 22.8Hz  43Hz   81Hz   87.5dB   32l +   8l  + 1x40mm   2588mm
 25.0Hz  45Hz   83Hz   89.1dB   25l +   8l  + 1x40mm   2306mm
 27.2Hz  48Hz   85Hz   90.6dB   20l +   8l  + 1x40mm   2055mm
 29.7Hz  51Hz   87Hz   92.1dB   16l +   8l  + 1x40mm   1832mm
 32.4Hz  54Hz   90Hz   93.6dB   14l +   8l  + 1x40mm   1633mm
 35.2Hz  57Hz   93Hz   95.1dB   12l +   8l  + 1x40mm   1455mm
 38.2Hz  61Hz   96Hz   96.5dB   10l +   8l  + 1x40mm   1297mm
 41.5Hz  64Hz   99Hz   97.9dB    8l +   8l  + 1x40mm   1156mm
 45.0Hz  68Hz  103Hz   99.3dB    7l +   8l  + 1x40mm   1030mm
 48.7Hz  70Hz  106Hz  100.7dB    7l +   8l  + 1x40mm    965mm
 52.7Hz  76Hz  110Hz  102.1dB    5l +   8l  + 1x40mm    818mm
 56.9Hz  81Hz  115Hz  103.4dB    5l +   8l  - 1x40mm    729mm
 61.4Hz  86Hz  119Hz  104.7dB    4l +   8l  - 1x40mm    650mm
 66.3Hz  91Hz  124Hz  106.0dB    4l +   8l  - 1x40mm    579mm
 17.3Hz  42Hz   75Hz   82.8dB   35l +   6l  + 1x40mm   3655mm
 19.0Hz  45Hz   77Hz   84.4dB   27l +   6l  + 1x40mm   3257mm
 20.9Hz  47Hz   79Hz   86.0dB   21l +   6l  + 1x40mm   2903mm
 22.8Hz  50Hz   81Hz   87.5dB   18l +   6l  + 1x40mm   2588mm
 25.0Hz  53Hz   83Hz   89.1dB   15l +   6l  + 1x40mm   2307mm
 27.2Hz  56Hz   85Hz   90.6dB   12l +   6l  + 1x40mm   2055mm
 29.7Hz  59Hz   87Hz   92.1dB   10l +   6l  + 1x40mm   1832mm
 32.4Hz  63Hz   90Hz   93.6dB    9l +   6l  + 1x40mm   1633mm
 35.2Hz  67Hz   93Hz   95.1dB    8l +   6l  + 1x40mm   1455mm
 38.2Hz  71Hz   96Hz   96.5dB    7l +   6l  + 1x40mm   1297mm
 41.5Hz  75Hz   99Hz   97.9dB    6l +   6l  + 1x40mm   1156mm
 45.0Hz  68Hz  103Hz   99.3dB    7l +   6l  + 1x40mm   1402mm
 48.7Hz  70Hz  106Hz  100.7dB    7l +   6l  + 1x40mm   1313mm
 52.7Hz  76Hz  110Hz  102.1dB    5l +   6l  + 1x40mm   1114mm
 48.9Hz  81Hz  115Hz  100.8dB    5l +   6l  + 1x40mm    993mm
 53.4Hz  86Hz  119Hz  102.3dB    4l +   6l  + 1x40mm    885mm
 66.3Hz  91Hz  124Hz  106.0dB    4l +   6l  - 1x40mm    788mm
 20.8Hz  51Hz  123Hz   85.9dB   17l +   4l  + 1x40mm   3655mm
 23.0Hz  53Hz  125Hz   87.6dB   14l +   4l  + 1x40mm   3258mm
 25.3Hz  57Hz  127Hz   89.3dB   12l +   4l  + 1x40mm   2904mm
 27.8Hz  60Hz  130Hz   91.0dB   10l +   4l  + 1x40mm   2588mm
 30.6Hz  64Hz  132Hz   92.6dB    9l +   4l  + 1x40mm   2306mm
 33.5Hz  67Hz  135Hz   94.2dB    7l +   4l  + 1x40mm   2055mm
 36.8Hz  71Hz  139Hz   95.8dB    6l +   4l  + 1x40mm   1832mm
 40.2Hz  76Hz  142Hz   97.4dB    6l +   4l  + 1x40mm   1633mm
 44.0Hz  80Hz  146Hz   98.9dB    5l +   4l  + 1x40mm   1455mm
 48.0Hz  85Hz  150Hz  100.4dB    4l +   4l  + 1x40mm   1297mm
 52.4Hz  90Hz  154Hz  102.0dB    4l +   4l  + 1x40mm   1156mm
 57.0Hz  95Hz  159Hz  103.4dB    3l +   4l  + 1x40mm   1030mm
 62.0Hz 101Hz  164Hz  104.9dB    3l +   4l  + 1x40mm    918mm
 67.4Hz 107Hz  169Hz  106.3dB    2l +   4l  + 1x40mm    818mm
 73.1Hz 113Hz  175Hz  107.8dB    2l +   4l  - 1x40mm    729mm
 79.3Hz 120Hz  181Hz  109.2dB    2l +   4l  - 1x40mm    650mm
-------------
15W4531G00
            87.0dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 25.3Hz  53Hz  109Hz   89.3dB   19l +   3l  + 1x40mm   3891mm
 27.8Hz  56Hz  112Hz   90.9dB   15l +   3l  + 1x40mm   3468mm
 30.4Hz  59Hz  115Hz   92.5dB   12l +   3l  + 1x40mm   3091mm
 33.3Hz  63Hz  117Hz   94.1dB   10l +   3l  + 1x40mm   2755mm
 36.4Hz  66Hz  121Hz   95.7dB    8l +   3l  + 1x40mm   2455mm
 39.8Hz  70Hz  124Hz   97.2dB    7l +   3l  + 1x40mm   2188mm
 43.4Hz  74Hz  128Hz   98.7dB    6l +   3l  + 1x40mm   1950mm
 47.2Hz  79Hz  131Hz  100.2dB    5l +   3l  + 1x40mm   1738mm
 51.4Hz  83Hz  136Hz  101.6dB    4l +   3l  + 1x40mm   1549mm
