-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 38.9Hz  56Hz   85Hz   97.9dB   20l +  23l  * 1x40mm    514mm
 42.0Hz  61Hz   88Hz   99.2dB   16l +  23l  - 1x50mm    681mm
 45.4Hz  64Hz   91Hz  100.6dB   14l +  23l  - 1x50mm    607mm
 49.0Hz  68Hz   95Hz  101.9dB   12l +  23l  - 1x50mm    541mm
 52.9Hz  72Hz   99Hz  103.2dB   11l +  23l  - 1x50mm    482mm
 13.8Hz  34Hz   60Hz   79.9dB  108l +  17l  * 1x40mm   1946mm
 15.2Hz  36Hz   61Hz   81.5dB   83l +  17l  * 1x40mm   1734mm
 16.6Hz  38Hz   63Hz   83.1dB   65l +  17l  * 1x40mm   1545mm
 18.2Hz  40Hz   64Hz   84.7dB   53l +  17l  * 1x40mm   1377mm
 19.9Hz  42Hz   66Hz   86.3dB   44l +  17l  * 1x40mm   1228mm
 21.7Hz  45Hz   68Hz   87.8dB   37l +  17l  * 1x40mm   1094mm
 23.7Hz  47Hz   70Hz   89.3dB   31l +  17l  * 1x40mm    975mm
 25.8Hz  50Hz   72Hz   90.8dB   26l +  17l  * 1x40mm    869mm
 28.1Hz  53Hz   74Hz   92.2dB   23l +  17l  * 1x40mm    775mm
 30.5Hz  56Hz   77Hz   93.7dB   19l +  17l  * 1x40mm    690mm
 33.1Hz  60Hz   79Hz   95.1dB   17l +  17l  * 1x40mm    615mm
 35.9Hz  54Hz   82Hz   96.5dB   21l +  17l  * 1x40mm    746mm
 38.9Hz  56Hz   85Hz   97.9dB   20l +  17l  * 1x40mm    699mm
 42.0Hz  61Hz   88Hz   99.2dB   16l +  17l  * 1x40mm    593mm
 39.0Hz  64Hz   91Hz   97.9dB   14l +  17l  * 1x40mm    528mm
 42.6Hz  68Hz   95Hz   99.5dB   12l +  17l  - 1x50mm    736mm
 52.9Hz  72Hz   99Hz  103.2dB   11l +  17l  - 1x50mm    656mm
 16.6Hz  40Hz   98Hz   83.1dB   51l +  12l  * 1x40mm   1945mm
 18.3Hz  43Hz  100Hz   84.8dB   42l +  12l  * 1x40mm   1734mm
 20.2Hz  45Hz  101Hz   86.5dB   36l +  12l  * 1x40mm   1546mm
 22.2Hz  48Hz  103Hz   88.1dB   30l +  12l  * 1x40mm   1377mm
 24.4Hz  51Hz  106Hz   89.8dB   26l +  12l  * 1x40mm   1228mm
 26.8Hz  54Hz  108Hz   91.4dB   22l +  12l  * 1x40mm   1094mm
 29.3Hz  57Hz  111Hz   93.0dB   19l +  12l  * 1x40mm    975mm
 32.1Hz  60Hz  113Hz   94.5dB   16l +  12l  * 1x40mm    869mm
 35.1Hz  64Hz  116Hz   96.1dB   14l +  12l  * 1x40mm    775mm
 38.3Hz  68Hz  120Hz   97.6dB   12l +  12l  * 1x40mm    690mm
 41.8Hz  72Hz  123Hz   99.1dB   11l +  12l  * 1x40mm    615mm
 45.5Hz  76Hz  127Hz  100.6dB   10l +  12l  * 1x40mm    548mm
 49.5Hz  80Hz  131Hz  102.1dB    8l +  12l  - 1x50mm    764mm
 53.8Hz  85Hz  135Hz  103.5dB    7l +  12l  - 1x50mm    681mm
 58.3Hz  90Hz  140Hz  104.9dB    7l +  12l  - 1x50mm    607mm
 63.2Hz  96Hz  144Hz  106.3dB    6l +  12l  - 1x50mm    541mm
 68.5Hz 101Hz  150Hz  107.7dB    5l +  12l  - 1x50mm    482mm
-------------
18W8434G00
            88.7dB            55W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 24.1Hz  50Hz  104Hz   87.9dB 1800l +   8l  * 1x40mm   1930mm
 26.5Hz  53Hz  107Hz   89.5dB  147l +   8l  * 1x40mm   1720mm
 29.0Hz  56Hz  109Hz   91.1dB   72l +   8l  * 1x40mm   1533mm
 31.7Hz  60Hz  112Hz   92.7dB   46l +   8l  * 1x40mm   1367mm
 34.7Hz  63Hz  115Hz   94.2dB   33l +   8l  * 1x40mm   1218mm
 37.9Hz  67Hz  118Hz   95.7dB   25l +   8l  * 1x40mm   1086mm
 41.3Hz  71Hz  122Hz   97.2dB   19l +   8l  * 1x40mm    968mm
 45.0Hz  75Hz  125Hz   98.7dB   16l +   8l  * 1x40mm    862mm
 48.9Hz  80Hz  129Hz  100.2dB   13l +   8l  * 1x40mm    769mm
 53.2Hz  84Hz  133Hz  101.6dB   11l +   8l  * 1x40mm    685mm
 57.7Hz  89Hz  138Hz  103.0dB    9l +   8l  * 1x40mm    611mm
 62.6Hz  95Hz  143Hz  104.4dB    8l +   8l  * 1x40mm    544mm
 67.7Hz  98Hz  148Hz  105.8dB    7l +   8l  - 1x50mm    796mm
 73.3Hz 106Hz  153Hz  107.2dB    6l +   8l  - 1x50mm    675mm
 79.2Hz 112Hz  159Hz  108.5dB    5l +   8l  - 1x50mm    602mm
 24.1Hz  59Hz  104Hz   87.9dB   52l +   6l  * 1x40mm   1930mm
 26.5Hz  62Hz  107Hz   89.5dB   36l +   6l  * 1x40mm   1720mm
 29.0Hz  66Hz  109Hz   91.1dB   27l +   6l  * 1x40mm   1533mm
 31.7Hz  70Hz  112Hz   92.7dB   21l +   6l  * 1x40mm   1367mm
 34.7Hz  74Hz  115Hz   94.2dB   17l +   6l  * 1x40mm   1218mm
 37.9Hz  78Hz  118Hz   95.7dB   14l +   6l  * 1x40mm   1085mm
 41.3Hz  83Hz  122Hz   97.2dB   11l +   6l  * 1x40mm    968mm
 45.0Hz  88Hz  125Hz   98.7dB    9l +   6l  * 1x40mm    862mm
 48.9Hz  93Hz  129Hz  100.2dB    8l +   6l  * 1x40mm    769mm
 53.2Hz  98Hz  133Hz  101.6dB    7l +   6l  * 1x40mm    685mm
 57.7Hz 104Hz  138Hz  103.0dB    6l +   6l  * 1x40mm    610mm
 62.6Hz  95Hz  143Hz  104.4dB    8l +   6l  * 1x40mm    741mm
 67.7Hz  98Hz  148Hz  105.8dB    7l +   6l  * 1x40mm    694mm
 73.3Hz 106Hz  153Hz  107.2dB    6l +   6l  * 1x40mm    588mm
 68.0Hz 112Hz  159Hz  105.9dB    5l +   6l  * 1x40mm    524mm
 74.3Hz 119Hz  166Hz  107.4dB    4l +   6l  - 1x50mm    730mm
 28.9Hz  70Hz  170Hz   91.0dB   20l +   4l  * 1x40mm   1930mm
 31.9Hz  74Hz  173Hz   92.7dB   16l +   4l  * 1x40mm   1721mm
 35.2Hz  79Hz  177Hz   94.4dB   13l +   4l  * 1x40mm   1534mm
 38.7Hz  83Hz  180Hz   96.1dB   11l +   4l  * 1x40mm   1367mm
 42.5Hz  88Hz  184Hz   97.7dB    9l +   4l  * 1x40mm   1218mm
 46.6Hz  94Hz  188Hz   99.3dB    8l +   4l  * 1x40mm   1086mm
 51.1Hz  99Hz  193Hz  100.9dB    7l +   4l  * 1x40mm    967mm
 55.9Hz 105Hz  197Hz  102.5dB    6l +   4l  * 1x40mm    862mm
 61.1Hz 111Hz  203Hz  104.0dB    5l +   4l  * 1x40mm    769mm
 66.8Hz 118Hz  208Hz  105.6dB    4l +   4l  * 1x40mm    685mm
 72.8Hz 125Hz  214Hz  107.1dB    4l +   4l  * 1x40mm    610mm
 79.3Hz 132Hz  221Hz  108.6dB    3l +   4l  * 1x40mm    544mm
-------------
18W8531G
            87.0dB            60W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.2Hz  34Hz   70Hz   85.6dB  130l +  16l  * 1x40mm   2047mm
 17.8Hz  36Hz   72Hz   87.2dB   94l +  16l  * 1x40mm   1824mm
 19.5Hz  38Hz   73Hz   88.8dB   71l +  16l  * 1x40mm   1626mm
 21.4Hz  40Hz   75Hz   90.3dB   56l +  16l  * 1x40mm   1450mm
 23.4Hz  42Hz   77Hz   91.9dB   45l +  16l  * 1x40mm   1292mm
 25.5Hz  45Hz   79Hz   93.4dB   37l +  16l  * 1x40mm   1151mm
 27.8Hz  48Hz   82Hz   94.9dB   31l +  16l  * 1x40mm   1026mm
 30.3Hz  50Hz   84Hz   96.4dB   26l +  16l  * 1x40mm    915mm
 32.9Hz  53Hz   87Hz   97.9dB   22l +  16l  * 1x40mm    815mm
 35.8Hz  57Hz   90Hz   99.3dB   19l +  16l  * 1x40mm    726mm
 38.8Hz  60Hz   93Hz  100.7dB   16l +  16l  * 1x40mm    647mm
 42.1Hz  64Hz   96Hz  102.1dB   14l +  16l  * 1x40mm    577mm
 45.6Hz  66Hz  100Hz  103.5dB   13l +  16l  * 1x40mm    540mm
 49.3Hz  71Hz  103Hz  104.9dB   11l +  16l  - 1x50mm    716mm
 53.3Hz  76Hz  107Hz  106.2dB    9l +  16l  - 1x50mm    638mm
 57.5Hz  80Hz  111Hz  107.5dB    8l +  16l  - 1x50mm    569mm
 62.0Hz  85Hz  116Hz  108.9dB    7l +  16l  - 1x50mm    507mm
 16.2Hz  39Hz   70Hz   85.6dB   60l +  12l  * 1x40mm   2047mm
 17.8Hz  42Hz   72Hz   87.2dB   48l +  12l  * 1x40mm   1824mm
 19.5Hz  44Hz   73Hz   88.8dB   40l +  12l  * 1x40mm   1626mm
 21.4Hz  47Hz   75Hz   90.3dB   33l +  12l  * 1x40mm   1449mm
 23.4Hz  50Hz   77Hz   91.9dB   28l +  12l  * 1x40mm   1292mm
 25.5Hz  53Hz   79Hz   93.4dB   23l +  12l  * 1x40mm   1151mm
 27.8Hz  56Hz   82Hz   94.9dB   20l +  12l  * 1x40mm   1026mm
 30.3Hz  59Hz   84Hz   96.4dB   17l +  12l  * 1x40mm    914mm
 32.9Hz  62Hz   87Hz   97.9dB   15l +  12l  * 1x40mm    815mm
 35.8Hz  66Hz   90Hz   99.3dB   13l +  12l  * 1x40mm    726mm
 38.8Hz  70Hz   93Hz  100.7dB   11l +  12l  * 1x40mm    647mm
 42.1Hz  64Hz   96Hz  102.1dB   14l +  12l  * 1x40mm    785mm
 45.6Hz  66Hz  100Hz  103.5dB   13l +  12l  * 1x40mm    736mm
 49.3Hz  71Hz  103Hz  104.9dB   11l +  12l  * 1x40mm    624mm
 45.8Hz  76Hz  107Hz  103.6dB    9l +  12l  * 1x40mm    556mm
 50.0Hz  80Hz  111Hz  105.1dB    8l +  12l  - 1x50mm    774mm
 62.0Hz  85Hz  116Hz  108.9dB    7l +  12l  - 1x50mm    690mm
 19.5Hz  47Hz  115Hz   88.7dB   32l +   8l  * 1x40mm   2047mm
 21.5Hz  50Hz  117Hz   90.4dB   27l +   8l  * 1x40mm   1825mm
 23.7Hz  53Hz  119Hz   92.1dB   23l +   8l  * 1x40mm   1626mm
 26.0Hz  56Hz  121Hz   93.8dB   20l +   8l  * 1x40mm   1449mm
 28.6Hz  59Hz  124Hz   95.4dB   17l +   8l  * 1x40mm   1292mm
 31.4Hz  63Hz  127Hz   97.0dB   15l +   8l  * 1x40mm   1151mm
 34.4Hz  67Hz  130Hz   98.6dB   13l +   8l  * 1x40mm   1026mm
 37.6Hz  71Hz  133Hz  100.2dB   11l +   8l  * 1x40mm    914mm
 41.1Hz  75Hz  136Hz  101.7dB   10l +   8l  * 1x40mm    815mm
 44.9Hz  79Hz  140Hz  103.3dB    8l +   8l  * 1x40mm    726mm
 49.0Hz  84Hz  144Hz  104.8dB    7l +   8l  * 1x40mm    647mm
 53.3Hz  89Hz  149Hz  106.2dB    6l +   8l  * 1x40mm    577mm
 58.0Hz  94Hz  153Hz  107.7dB    6l +   8l  * 1x40mm    514mm
 63.0Hz 100Hz  158Hz  109.1dB    5l +   8l  - 1x50mm    716mm
 68.4Hz 106Hz  164Hz  110.6dB    4l +   8l  - 1x50mm    638mm
 74.2Hz 112Hz  169Hz  112.0dB    4l +   8l  - 1x50mm    569mm
 80.3Hz 119Hz  175Hz  113.3dB    3l +   8l  - 1x50mm    507mm
-------------
18W8545-00
            88.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 22.2Hz  46Hz   96Hz   90.7dB   28l +   7l  * 1x40mm   2516mm
 24.3Hz  49Hz   98Hz   92.3dB   24l +   7l  * 1x40mm   2243mm
 26.6Hz  52Hz  100Hz   93.9dB   20l +   7l  * 1x40mm   1999mm
 29.2Hz  55Hz  103Hz   95.5dB   17l +   7l  * 1x40mm   1782mm
 31.9Hz  58Hz  106Hz   97.0dB   15l +   7l  * 1x40mm   1588mm
 34.8Hz  61Hz  108Hz   98.5dB   13l +   7l  * 1x40mm   1415mm
 37.9Hz  65Hz  112Hz  100.0dB   11l +   7l  * 1x40mm   1261mm
 41.3Hz  69Hz  115Hz  101.5dB    9l +   7l  * 1x40mm   1124mm
 45.0Hz  73Hz  119Hz  103.0dB    8l +   7l  * 1x40mm   1002mm
 48.8Hz  77Hz  123Hz  104.4dB    7l +   7l  * 1x40mm    893mm
 53.0Hz  82Hz  127Hz  105.8dB    6l +   7l  * 1x40mm    796mm
 57.4Hz  87Hz  131Hz  107.2dB    6l +   7l  * 1x40mm    709mm
 62.2Hz  90Hz  136Hz  108.6dB    5l +   7l  * 1x40mm    664mm
 67.3Hz  97Hz  141Hz  110.0dB    4l +   7l  * 1x40mm    563mm
 72.7Hz 103Hz  146Hz  111.3dB    4l +   7l  - 1x50mm    784mm
 78.5Hz 109Hz  152Hz  112.7dB    3l +   7l  - 1x50mm    699mm
 84.6Hz 116Hz  158Hz  114.0dB    3l +   7l  - 1x50mm    623mm
 22.2Hz  54Hz   96Hz   90.7dB   18l +   5l  * 1x40mm   2516mm
 24.3Hz  57Hz   98Hz   92.3dB   15l +   5l  * 1x40mm   2242mm
 26.6Hz  60Hz  100Hz   93.9dB   13l +   5l  * 1x40mm   1999mm
 29.2Hz  64Hz  103Hz   95.5dB   11l +   5l  * 1x40mm   1782mm
 31.9Hz  68Hz  106Hz   97.0dB   10l +   5l  * 1x40mm   1588mm
 34.8Hz  72Hz  108Hz   98.5dB    9l +   5l  * 1x40mm   1415mm
 37.9Hz  76Hz  112Hz  100.0dB    8l +   5l  * 1x40mm   1261mm
 41.3Hz  80Hz  115Hz  101.5dB    7l +   5l  * 1x40mm   1124mm
 45.0Hz  85Hz  119Hz  103.0dB    6l +   5l  * 1x40mm   1002mm
 48.8Hz  90Hz  123Hz  104.4dB    5l +   5l  * 1x40mm    893mm
 53.0Hz  96Hz  127Hz  105.8dB    5l +   5l  * 1x40mm    796mm
 57.4Hz  87Hz  131Hz  107.2dB    6l +   5l  * 1x40mm    965mm
 62.2Hz  90Hz  136Hz  108.6dB    5l +   5l  * 1x40mm    904mm
 67.3Hz  97Hz  141Hz  110.0dB    4l +   5l  * 1x40mm    767mm
 62.5Hz 103Hz  146Hz  108.7dB    4l +   5l  * 1x40mm    683mm
 68.2Hz 109Hz  152Hz  110.2dB    3l +   5l  * 1x40mm    609mm
 84.6Hz 116Hz  158Hz  114.0dB    3l +   5l  * 1x40mm    543mm
 26.6Hz  65Hz  157Hz   93.9dB   11l +   4l  * 1x40mm   2516mm
 29.3Hz  68Hz  159Hz   95.6dB   10l +   4l  * 1x40mm   2243mm
 32.3Hz  72Hz  162Hz   97.2dB    8l +   4l  * 1x40mm   1999mm
 35.5Hz  77Hz  165Hz   98.9dB    7l +   4l  * 1x40mm   1781mm
 39.0Hz  81Hz  169Hz  100.5dB    6l +   4l  * 1x40mm   1588mm
 42.8Hz  86Hz  173Hz  102.1dB    6l +   4l  * 1x40mm   1415mm
 46.9Hz  91Hz  177Hz  103.7dB    5l +   4l  * 1x40mm   1261mm
 51.4Hz  97Hz  181Hz  105.3dB    4l +   4l  * 1x40mm   1124mm
 56.2Hz 102Hz  186Hz  106.8dB    4l +   4l  * 1x40mm   1002mm
 61.3Hz 108Hz  191Hz  108.4dB    3l +   4l  * 1x40mm    893mm
 66.9Hz 115Hz  197Hz  109.9dB    3l +   4l  * 1x40mm    796mm
 72.8Hz 122Hz  203Hz  111.4dB    3l +   4l  * 1x40mm    709mm
 79.2Hz 129Hz  209Hz  112.8dB    2l +   4l  * 1x40mm    632mm
-------------
18W8545K00
            87.5dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 20.7Hz  43Hz   89Hz   89.5dB   35l +   8l  * 1x40mm   2516mm
 22.7Hz  46Hz   91Hz   91.1dB   29l +   8l  * 1x40mm   2243mm
 24.9Hz  48Hz   94Hz   92.7dB   24l +   8l  * 1x40mm   1999mm
 27.2Hz  51Hz   96Hz   94.3dB   21l +   8l  * 1x40mm   1782mm
 29.8Hz  54Hz   99Hz   95.8dB   18l +   8l  * 1x40mm   1588mm
 32.5Hz  57Hz  101Hz   97.3dB   15l +   8l  * 1x40mm   1415mm
 35.4Hz  61Hz  104Hz   98.8dB   13l +   8l  * 1x40mm   1261mm
 38.6Hz  64Hz  107Hz  100.3dB   11l +   8l  * 1x40mm   1124mm
 42.0Hz  68Hz  111Hz  101.8dB   10l +   8l  * 1x40mm   1002mm
 45.6Hz  72Hz  114Hz  103.2dB    8l +   8l  * 1x40mm    893mm
 49.5Hz  76Hz  118Hz  104.6dB    7l +   8l  * 1x40mm    796mm
 53.6Hz  81Hz  122Hz  106.0dB    7l +   8l  * 1x40mm    709mm
 58.1Hz  84Hz  127Hz  107.4dB    6l +   8l  * 1x40mm    664mm
 62.8Hz  91Hz  132Hz  108.8dB    5l +   8l  * 1x40mm    563mm
 67.9Hz  96Hz  137Hz  110.1dB    4l +   8l  - 1x50mm    784mm
 73.3Hz 102Hz  142Hz  111.5dB    4l +   8l  - 1x50mm    699mm
 79.0Hz 108Hz  148Hz  112.8dB    3l +   8l  - 1x50mm    623mm
 20.7Hz  50Hz   89Hz   89.5dB   22l +   6l  * 1x40mm   2516mm
 22.7Hz  53Hz   91Hz   91.1dB   18l +   6l  * 1x40mm   2242mm
 24.9Hz  56Hz   94Hz   92.7dB   16l +   6l  * 1x40mm   1999mm
 27.2Hz  60Hz   96Hz   94.3dB   14l +   6l  * 1x40mm   1782mm
 29.8Hz  63Hz   99Hz   95.8dB   12l +   6l  * 1x40mm   1588mm
 32.5Hz  67Hz  101Hz   97.3dB   10l +   6l  * 1x40mm   1415mm
 35.4Hz  71Hz  104Hz   98.8dB    9l +   6l  * 1x40mm   1261mm
 38.6Hz  75Hz  107Hz  100.3dB    8l +   6l  * 1x40mm   1124mm
 42.0Hz  80Hz  111Hz  101.8dB    7l +   6l  * 1x40mm   1002mm
 45.6Hz  84Hz  114Hz  103.2dB    6l +   6l  * 1x40mm    893mm
 49.5Hz  89Hz  118Hz  104.6dB    5l +   6l  * 1x40mm    796mm
 53.6Hz  81Hz  122Hz  106.0dB    7l +   6l  * 1x40mm    965mm
 58.1Hz  84Hz  127Hz  107.4dB    6l +   6l  * 1x40mm    904mm
 62.8Hz  91Hz  132Hz  108.8dB    5l +   6l  * 1x40mm    767mm
 58.3Hz  96Hz  137Hz  107.5dB    4l +   6l  * 1x40mm    683mm
 63.7Hz 102Hz  142Hz  109.0dB    4l +   6l  * 1x40mm    609mm
 79.0Hz 108Hz  148Hz  112.8dB    3l +   6l  * 1x40mm    543mm
 24.8Hz  60Hz  146Hz   92.7dB   13l +   4l  * 1x40mm   2516mm
 27.4Hz  64Hz  149Hz   94.4dB   11l +   4l  * 1x40mm   2243mm
 30.1Hz  68Hz  151Hz   96.0dB   10l +   4l  * 1x40mm   1999mm
 33.2Hz  72Hz  154Hz   97.7dB    9l +   4l  * 1x40mm   1781mm
 36.4Hz  76Hz  158Hz   99.3dB    8l +   4l  * 1x40mm   1588mm
 40.0Hz  80Hz  161Hz  100.9dB    7l +   4l  * 1x40mm   1415mm
 43.8Hz  85Hz  165Hz  102.5dB    6l +   4l  * 1x40mm   1261mm
 48.0Hz  90Hz  169Hz  104.1dB    5l +   4l  * 1x40mm   1124mm
 52.4Hz  95Hz  174Hz  105.7dB    5l +   4l  * 1x40mm   1002mm
 57.2Hz 101Hz  179Hz  107.2dB    4l +   4l  * 1x40mm    893mm
 62.4Hz 107Hz  184Hz  108.7dB    4l +   4l  * 1x40mm    796mm
 68.0Hz 113Hz  189Hz  110.2dB    3l +   4l  * 1x40mm    709mm
 73.9Hz 120Hz  195Hz  111.6dB    3l +   4l  * 1x40mm    632mm
 80.3Hz 127Hz  202Hz  113.1dB    2l +   4l  * 1x40mm    563mm
-------------
22W4534G00
            92.4dB            70W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 18.0Hz  37Hz   78Hz   90.3dB   99l +  22l  * 1x40mm   1237mm
 19.8Hz  40Hz   80Hz   91.9dB   81l +  22l  * 1x40mm   1102mm
 21.6Hz  42Hz   81Hz   93.5dB   67l +  22l  * 1x40mm    982mm
 23.7Hz  44Hz   84Hz   95.1dB   57l +  22l  * 1x40mm    876mm
 25.9Hz  47Hz   86Hz   96.6dB   48l +  22l  * 1x40mm    780mm
 28.3Hz  50Hz   88Hz   98.1dB   41l +  22l  * 1x40mm    696mm
 30.8Hz  53Hz   91Hz   99.6dB   35l +  22l  * 1x40mm    620mm
 33.6Hz  56Hz   93Hz  101.1dB   30l +  22l  * 1x40mm    553mm
 36.5Hz  59Hz   96Hz  102.6dB   26l +  22l  - 1x50mm    769mm
 39.7Hz  63Hz  100Hz  104.0dB   23l +  22l  - 1x50mm    686mm
 43.1Hz  67Hz  103Hz  105.4dB   20l +  22l  - 1x50mm    611mm
 46.7Hz  71Hz  107Hz  106.8dB   18l +  22l  - 1x50mm    545mm
 50.5Hz  73Hz  110Hz  108.2dB   16l +  22l  - 1x50mm    510mm
 54.7Hz  79Hz  115Hz  109.6dB   14l +  22l  - 1x50mm    433mm
 59.1Hz  84Hz  119Hz  110.9dB   12l +  22l    1x70mm    756mm
 63.7Hz  89Hz  124Hz  112.3dB   11l +  22l    1x70mm    674mm
 68.7Hz  94Hz  129Hz  113.6dB    9l +  22l    1x70mm    600mm
 18.0Hz  44Hz   78Hz   90.3dB   60l +  16l  * 1x40mm   1237mm
 19.8Hz  46Hz   80Hz   91.9dB   51l +  16l  * 1x40mm   1102mm
 21.6Hz  49Hz   81Hz   93.5dB   43l +  16l  * 1x40mm    982mm
 23.7Hz  52Hz   84Hz   95.1dB   37l +  16l  * 1x40mm    876mm
 25.9Hz  55Hz   86Hz   96.6dB   32l +  16l  * 1x40mm    780mm
 28.3Hz  58Hz   88Hz   98.1dB   28l +  16l  * 1x40mm    695mm
 30.8Hz  62Hz   91Hz   99.6dB   24l +  16l  * 1x40mm    620mm
 33.6Hz  65Hz   93Hz  101.1dB   21l +  16l  * 1x40mm    553mm
 36.5Hz  69Hz   96Hz  102.6dB   18l +  16l  - 1x50mm    769mm
 39.7Hz  73Hz  100Hz  104.0dB   16l +  16l  - 1x50mm    686mm
 43.1Hz  78Hz  103Hz  105.4dB   14l +  16l  - 1x50mm    611mm
 46.7Hz  71Hz  107Hz  106.8dB   18l +  16l  - 1x50mm    741mm
 50.5Hz  73Hz  110Hz  108.2dB   16l +  16l  - 1x50mm    694mm
 54.7Hz  79Hz  115Hz  109.6dB   14l +  16l  - 1x50mm    589mm
 50.8Hz  84Hz  119Hz  108.3dB   12l +  16l  - 1x50mm    525mm
 55.4Hz  89Hz  124Hz  109.8dB   11l +  16l  - 1x50mm    468mm
 68.7Hz  94Hz  129Hz  113.6dB    9l +  16l  - 1x50mm    417mm
 21.6Hz  52Hz  127Hz   93.4dB   36l +  11l  * 1x40mm   1237mm
 23.8Hz  56Hz  129Hz   95.1dB   31l +  11l  * 1x40mm   1102mm
 26.2Hz  59Hz  132Hz   96.8dB   27l +  11l  * 1x40mm    983mm
 28.9Hz  62Hz  134Hz   98.5dB   24l +  11l  * 1x40mm    876mm
 31.7Hz  66Hz  137Hz  100.1dB   21l +  11l  * 1x40mm    780mm
 34.8Hz  70Hz  140Hz  101.7dB   18l +  11l  * 1x40mm    696mm
 38.1Hz  74Hz  144Hz  103.3dB   16l +  11l  * 1x40mm    620mm
 41.7Hz  78Hz  147Hz  104.9dB   14l +  11l  * 1x40mm    552mm
 45.6Hz  83Hz  151Hz  106.4dB   12l +  11l  - 1x50mm    769mm
 49.8Hz  88Hz  155Hz  108.0dB   11l +  11l  - 1x50mm    686mm
 54.3Hz  93Hz  160Hz  109.5dB   10l +  11l  - 1x50mm    611mm
 59.2Hz  99Hz  165Hz  111.0dB    8l +  11l  - 1x50mm    545mm
 64.3Hz 105Hz  170Hz  112.4dB    7l +  11l  - 1x50mm    485mm
 69.9Hz 111Hz  175Hz  113.9dB    7l +  11l  - 1x50mm    433mm
 75.9Hz 117Hz  181Hz  115.3dB    6l +  11l    1x70mm    756mm
 82.2Hz 124Hz  188Hz  116.7dB    5l +  11l    1x70mm    674mm
-------------
22W8534G00
            88.8dB            70W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.2Hz  34Hz   70Hz   88.4dB  362l +  30l  * 1x40mm   1117mm
 17.8Hz  36Hz   72Hz   90.1dB  227l +  30l  * 1x40mm    995mm
 19.5Hz  38Hz   73Hz   91.7dB  161l +  30l  * 1x40mm    887mm
 21.3Hz  40Hz   75Hz   93.2dB  121l +  30l  * 1x40mm    791mm
 23.3Hz  42Hz   77Hz   94.8dB   94l +  30l  * 1x40mm    705mm
 25.4Hz  45Hz   79Hz   96.3dB   76l +  30l  * 1x40mm    628mm
 27.7Hz  48Hz   82Hz   97.8dB   62l +  30l  * 1x40mm    560mm
 30.2Hz  50Hz   84Hz   99.3dB   52l +  30l  - 1x50mm    780mm
 32.9Hz  53Hz   87Hz  100.7dB   43l +  30l  - 1x50mm    695mm
 35.7Hz  57Hz   90Hz  102.2dB   37l +  30l  - 1x50mm    619mm
 38.7Hz  60Hz   93Hz  103.6dB   32l +  30l  - 1x50mm    552mm
 42.0Hz  63Hz   96Hz  105.0dB   27l +  30l  - 1x50mm    492mm
 45.5Hz  66Hz   99Hz  106.4dB   25l +  30l  - 1x50mm    461mm
 49.2Hz  71Hz  103Hz  107.7dB   20l +  30l    1x70mm    766mm
 53.1Hz  75Hz  107Hz  109.1dB   18l +  30l    1x70mm    682mm
 57.4Hz  80Hz  111Hz  110.4dB   15l +  30l    1x70mm    608mm
 61.9Hz  85Hz  116Hz  111.7dB   14l +  30l    1x70mm    542mm
 16.2Hz  39Hz   70Hz   88.4dB  132l +  22l  * 1x40mm   1117mm
 17.8Hz  42Hz   72Hz   90.1dB  102l +  22l  * 1x40mm    995mm
 19.5Hz  44Hz   73Hz   91.7dB   81l +  22l  * 1x40mm    887mm
 21.3Hz  47Hz   75Hz   93.2dB   66l +  22l  * 1x40mm    791mm
 23.3Hz  49Hz   77Hz   94.8dB   55l +  22l  * 1x40mm    705mm
 25.4Hz  52Hz   79Hz   96.3dB   46l +  22l  * 1x40mm    628mm
 27.7Hz  55Hz   82Hz   97.8dB   39l +  22l  * 1x40mm    560mm
 30.2Hz  59Hz   84Hz   99.3dB   33l +  22l  - 1x50mm    780mm
 32.9Hz  62Hz   87Hz  100.7dB   28l +  22l  - 1x50mm    695mm
 35.7Hz  66Hz   90Hz  102.2dB   25l +  22l  - 1x50mm    619mm
 38.7Hz  70Hz   93Hz  103.6dB   21l +  22l  - 1x50mm    552mm
 42.0Hz  63Hz   96Hz  105.0dB   27l +  22l  - 1x50mm    670mm
 45.5Hz  66Hz   99Hz  106.4dB   25l +  22l  - 1x50mm    627mm
 49.2Hz  71Hz  103Hz  107.7dB   20l +  22l  - 1x50mm    532mm
 45.7Hz  75Hz  107Hz  106.5dB   18l +  22l  - 1x50mm    474mm
 49.9Hz  80Hz  111Hz  108.0dB   15l +  22l  - 1x50mm    422mm
