-------------
b20-2002
            93.0dB           120W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 45.1Hz  91Hz  182Hz  106.7dB   12l +   6l  * 1x50mm   1213mm
 49.5Hz  96Hz  186Hz  108.3dB   10l +   6l  * 1x50mm   1081mm
 54.1Hz 102Hz  191Hz  109.9dB    9l +   6l  * 1x50mm    964mm
 59.2Hz 108Hz  196Hz  111.4dB    7l +   6l  * 1x50mm    859mm
 64.6Hz 114Hz  202Hz  113.0dB    6l +   6l  * 1x50mm    766mm
 70.5Hz 121Hz  207Hz  114.5dB    6l +   6l  * 1x50mm    682mm
 76.7Hz 128Hz  214Hz  116.0dB    5l +   6l  * 1x50mm    608mm
 83.5Hz 136Hz  220Hz  117.4dB    4l +   6l  * 1x50mm    542mm
-------------
1280
            93.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 44.5Hz  92Hz  192Hz   96.7dB    9l +   3l  * 1x40mm   1649mm
 48.8Hz  98Hz  197Hz   98.3dB    8l +   3l  * 1x40mm   1469mm
 53.5Hz 104Hz  201Hz   99.9dB    7l +   3l  * 1x40mm   1310mm
 58.5Hz 110Hz  206Hz  101.4dB    6l +   3l  * 1x40mm   1167mm
 64.0Hz 116Hz  212Hz  103.0dB    5l +   3l  * 1x40mm   1040mm
 69.8Hz 123Hz  218Hz  104.5dB    4l +   3l  * 1x40mm    927mm
 76.2Hz 131Hz  224Hz  106.0dB    4l +   3l  * 1x40mm    826mm
 83.0Hz 138Hz  231Hz  107.5dB    3l +   3l  * 1x40mm    737mm
 44.5Hz 108Hz  192Hz   96.7dB    6l +   2l  * 1x40mm   1649mm
 48.8Hz 114Hz  197Hz   98.3dB    5l +   2l  * 1x40mm   1469mm
 53.5Hz 121Hz  201Hz   99.9dB    5l +   2l  * 1x40mm   1309mm
 58.5Hz 128Hz  206Hz  101.4dB    4l +   2l  * 1x40mm   1167mm
 64.0Hz 136Hz  212Hz  103.0dB    4l +   2l  * 1x40mm   1040mm
 69.8Hz 144Hz  218Hz  104.5dB    3l +   2l  * 1x40mm    927mm
 76.2Hz 152Hz  224Hz  106.0dB    3l +   2l  * 1x40mm    826mm
 83.0Hz 161Hz  231Hz  107.5dB    2l +   2l  * 1x40mm    737mm
 53.3Hz 129Hz  314Hz   99.8dB    4l +   1l  * 1x40mm   1649mm
 58.8Hz 137Hz  320Hz  101.5dB    3l +   1l  * 1x40mm   1470mm
 64.8Hz 145Hz  326Hz  103.2dB    3l +   1l  * 1x40mm   1310mm
 71.3Hz 154Hz  332Hz  104.9dB    3l +   1l  * 1x40mm   1167mm
 78.3Hz 163Hz  339Hz  106.5dB    2l +   1l  * 1x40mm   1040mm
